剧本ID,剧目名称,剧目类别,内容量权重,网络密度,度中心化,主角色关系,角色关系集合,核心主题,核心主题序号,核心主题得分,核心主题置信度,次要主题集合,主题组合,主题组合显示,主题数量,主题序号集合,主题得分集合,主题归一得分集合,主题证据词集合,组合ID,文件路径,数据说明
01027008,打沙锅,家庭戏,24.61,0.4525,0.1499,亲属关系,亲属关系|审判与恩怨关系,家庭亲情,4,132.35,0.3831,公案冤狱|礼教品格,家庭亲情|公案冤狱|礼教品格,家庭亲情 + 公案冤狱 + 礼教品格,3,4|5|10,忠义家国:0.0|政治权力:35.49|婚恋姻缘:4.0|家庭亲情:132.35|公案冤狱:77.48|除暴侠义:0.0|战争武略:5.36|恩怨报偿:13.65|善恶转化:15.66|礼教品格:48.98|宗教祥瑞:4.97|文人世情:7.52,忠义家国:0.0|政治权力:0.2682|婚恋姻缘:0.0302|家庭亲情:1.0|公案冤狱:0.5855|除暴侠义:0.0|战争武略:0.0405|恩怨报偿:0.1031|善恶转化:0.1183|礼教品格:0.3701|宗教祥瑞:0.0376|文人世情:0.0568,家庭亲情:父、子、父母、类别先验:家庭戏、关系先验:亲属关系|公案冤狱:案、冤、公堂、审问、关系先验:审判与恩怨关系|礼教品格:节、骂、孝、孝顺、类别先验:家庭戏,combo-a1faf974,01000000/01027008_打沙锅.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01027009,山海关【头、二本】,历史戏,40.87,0.0758,0.3822,冲突关系,冲突关系|权力关系|亲属关系,战争武略,7,316.91,0.5505,忠义家国,忠义家国|战争武略,忠义家国 + 战争武略,2,1|7,忠义家国:46.62|政治权力:40.87|婚恋姻缘:0.54|家庭亲情:16.63|公案冤狱:4.21|除暴侠义:17.31|战争武略:316.91|恩怨报偿:17.97|善恶转化:2.63|礼教品格:43.83|宗教祥瑞:37.27|文人世情:30.9,忠义家国:0.1471|政治权力:0.129|婚恋姻缘:0.0017|家庭亲情:0.0525|公案冤狱:0.0133|除暴侠义:0.0546|战争武略:1.0|恩怨报偿:0.0567|善恶转化:0.0083|礼教品格:0.1383|宗教祥瑞:0.1176|文人世情:0.0975,战争武略:将军、关、兵、将、城,combo-140aa311,01000000/01027009_山海关【头、二本】.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01027010,晋阳宫,历史戏,26.64,0.3364,0.2496,权力关系,权力关系|亲属关系,战争武略,7,156.37,0.3232,政治权力|除暴侠义,政治权力|除暴侠义|战争武略,政治权力 + 除暴侠义 + 战争武略,3,2|6|7,忠义家国:12.96|政治权力:129.27|婚恋姻缘:1.53|家庭亲情:22.66|公案冤狱:2.0|除暴侠义:112.06|战争武略:156.37|恩怨报偿:12.23|善恶转化:2.88|礼教品格:18.84|宗教祥瑞:10.12|文人世情:2.97,忠义家国:0.0829|政治权力:0.8267|婚恋姻缘:0.0098|家庭亲情:0.1449|公案冤狱:0.0128|除暴侠义:0.7167|战争武略:1.0|恩怨报偿:0.0782|善恶转化:0.0184|礼教品格:0.1205|宗教祥瑞:0.0648|文人世情:0.019,政治权力:宫、帝、登基、皇帝、关系先验:权力关系|除暴侠义:盗贼、盗、英雄、虎|战争武略:兵马、兵、计、类别先验:历史戏、将,combo-faca3e93,01000000/01027010_晋阳宫.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01027011,战潼台,历史戏,24.11,0.3319,0.3969,亲属关系,亲属关系|冲突关系|权力关系,家庭亲情,4,231.52,0.3509,战争武略|礼教品格,家庭亲情|战争武略|礼教品格,家庭亲情 + 战争武略 + 礼教品格,3,4|7|10,忠义家国:25.92|政治权力:52.73|婚恋姻缘:1.8|家庭亲情:231.52|公案冤狱:2.81|除暴侠义:28.08|战争武略:149.6|恩怨报偿:9.42|善恶转化:26.96|礼教品格:102.96|宗教祥瑞:0.0|文人世情:27.92,忠义家国:0.112|政治权力:0.2278|婚恋姻缘:0.0078|家庭亲情:1.0|公案冤狱:0.0121|除暴侠义:0.1213|战争武略:0.6461|恩怨报偿:0.0407|善恶转化:0.1164|礼教品格:0.4447|宗教祥瑞:0.0|文人世情:0.1206,家庭亲情:父子、子、亲、女、父|战争武略:战、将、将军、城、类别先验:历史戏|礼教品格:节、训、关系先验:亲属关系、礼,combo-a7dd6b69,01000000/01027011_战潼台.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01027012,看香头,家庭戏,24.32,0.6184,0.273,亲属关系,亲属关系|权力关系|审判与恩怨关系,宗教祥瑞,11,121.14,0.2955,婚恋姻缘|家庭亲情,婚恋姻缘|家庭亲情|宗教祥瑞,婚恋姻缘 + 家庭亲情 + 宗教祥瑞,3,3|4|11,忠义家国:4.54|政治权力:7.81|婚恋姻缘:115.18|家庭亲情:45.36|公案冤狱:29.5|除暴侠义:0.0|战争武略:21.09|恩怨报偿:18.6|善恶转化:18.36|礼教品格:21.26|宗教祥瑞:121.14|文人世情:7.11,忠义家国:0.0375|政治权力:0.0645|婚恋姻缘:0.9508|家庭亲情:0.3744|公案冤狱:0.2436|除暴侠义:0.0|战争武略:0.1741|恩怨报偿:0.1535|善恶转化:0.1516|礼教品格:0.1755|宗教祥瑞:1.0|文人世情:0.0587,婚恋姻缘:夫妇、夫妻、类别先验:家庭戏、妻|家庭亲情:子、类别先验:家庭戏、关系先验:亲属关系、儿、女|宗教祥瑞:神仙、神、仙、鬼、关系先验:审判与恩怨关系,combo-74dc7e8c,01000000/01027012_看香头.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01027013,长生乐,家庭戏,32.14,0.1305,0.3067,权力关系,权力关系|亲属关系|婚恋关系,家庭亲情,4,108.21,0.2977,婚恋姻缘|宗教祥瑞,婚恋姻缘|家庭亲情|宗教祥瑞,婚恋姻缘 + 家庭亲情 + 宗教祥瑞,3,3|4|11,忠义家国:4.0|政治权力:31.5|婚恋姻缘:77.81|家庭亲情:108.21|公案冤狱:3.98|除暴侠义:2.7|战争武略:5.47|恩怨报偿:7.66|善恶转化:15.0|礼教品格:22.72|宗教祥瑞:52.71|文人世情:31.71,忠义家国:0.037|政治权力:0.2911|婚恋姻缘:0.7191|家庭亲情:1.0|公案冤狱:0.0368|除暴侠义:0.025|战争武略:0.0506|恩怨报偿:0.0708|善恶转化:0.1386|礼教品格:0.21|宗教祥瑞:0.4871|文人世情:0.2931,婚恋姻缘:夫人、洞房、关系先验:婚恋关系、姻缘、成亲|家庭亲情:子、女、兄弟、类别先验:家庭戏、家门|宗教祥瑞:仙、寿、神,combo-74dc7e8c,01000000/01027013_长生乐.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01028001,童女斩蛇,家庭戏,40.99,0.1788,0.336,亲属关系,亲属关系|权力关系|同盟关系,家庭亲情,4,178.58,0.2684,礼教品格|宗教祥瑞,家庭亲情|礼教品格|宗教祥瑞,家庭亲情 + 礼教品格 + 宗教祥瑞,3,4|10|11,忠义家国:9.72|政治权力:55.59|婚恋姻缘:48.34|家庭亲情:178.58|公案冤狱:17.41|除暴侠义:4.54|战争武略:48.92|恩怨报偿:54.37|善恶转化:24.3|礼教品格:94.04|宗教祥瑞:114.73|文人世情:14.76,忠义家国:0.0544|政治权力:0.3113|婚恋姻缘:0.2707|家庭亲情:1.0|公案冤狱:0.0975|除暴侠义:0.0254|战争武略:0.274|恩怨报偿:0.3045|善恶转化:0.1361|礼教品格:0.5266|宗教祥瑞:0.6425|文人世情:0.0827,家庭亲情:父母、女、父、子、母|礼教品格:贞、节、类别先验:家庭戏、礼、关系先验:亲属关系|宗教祥瑞:庙、仙、神、妖、神仙,combo-cf998e77,01000000/01028001_童女斩蛇.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01028002,九阳钟【头本】,历史戏,55.22,0.0759,0.3088,亲属关系,亲属关系|权力关系|冲突关系,除暴侠义,6,178.16,0.2081,婚恋姻缘|家庭亲情|战争武略,婚恋姻缘|家庭亲情|除暴侠义|战争武略,婚恋姻缘 + 家庭亲情 + 除暴侠义 + 战争武略,4,3|4|6|7,忠义家国:24.36|政治权力:87.22|婚恋姻缘:101.92|家庭亲情:100.41|公案冤狱:4.79|除暴侠义:178.16|战争武略:99.04|恩怨报偿:22.29|善恶转化:31.58|礼教品格:31.5|宗教祥瑞:75.42|文人世情:99.48,忠义家国:0.1367|政治权力:0.4896|婚恋姻缘:0.5721|家庭亲情:0.5636|公案冤狱:0.0269|除暴侠义:1.0|战争武略:0.5559|恩怨报偿:0.1251|善恶转化:0.1773|礼教品格:0.1768|宗教祥瑞:0.4233|文人世情:0.5584,婚恋姻缘:小姐、夫妻、婚姻、姻缘、鸳鸯|家庭亲情:父、女、子、亲、兄弟|除暴侠义:除奸、英雄、林冲、山寨、李逵|文人世情:酒楼、文、士、花园、才,combo-a9e4454b,01000000/01028002_九阳钟【头本】.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01028003,行路哭灵,家庭戏,26.17,0.2553,0.4839,亲属关系,亲属关系|权力关系|同盟关系,恩怨报偿,8,398.0,0.3412,家庭亲情|宗教祥瑞,家庭亲情|恩怨报偿|宗教祥瑞,家庭亲情 + 恩怨报偿 + 宗教祥瑞,3,4|8|11,忠义家国:32.58|政治权力:38.98|婚恋姻缘:11.56|家庭亲情:232.27|公案冤狱:40.09|除暴侠义:4.0|战争武略:38.71|恩怨报偿:398.0|善恶转化:37.86|礼教品格:40.76|宗教祥瑞:283.45|文人世情:8.19,忠义家国:0.0819|政治权力:0.098|婚恋姻缘:0.029|家庭亲情:0.5836|公案冤狱:0.1007|除暴侠义:0.0101|战争武略:0.0973|恩怨报偿:1.0|善恶转化:0.0951|礼教品格:0.1024|宗教祥瑞:0.7122|文人世情:0.0206,家庭亲情:子、母亲、兄弟、母、母子|恩怨报偿:哭灵、报应、还愿、报、雪恨|宗教祥瑞:托梦、报应、梦、鬼、神,combo-2f230bb3,01000000/01028003_行路哭灵.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01028005,磨房产子,神怪戏,29.15,0.2005,0.2913,亲属关系,亲属关系|婚恋关系,婚恋姻缘,3,273.64,0.3234,家庭亲情|宗教祥瑞,婚恋姻缘|家庭亲情|宗教祥瑞,婚恋姻缘 + 家庭亲情 + 宗教祥瑞,3,3|4|11,忠义家国:0.0|政治权力:11.79|婚恋姻缘:273.64|家庭亲情:217.28|公案冤狱:3.87|除暴侠义:5.31|战争武略:45.91|恩怨报偿:13.53|善恶转化:25.76|礼教品格:20.66|宗教祥瑞:180.15|文人世情:48.27,忠义家国:0.0|政治权力:0.0431|婚恋姻缘:1.0|家庭亲情:0.794|公案冤狱:0.0141|除暴侠义:0.0194|战争武略:0.1678|恩怨报偿:0.0494|善恶转化:0.0941|礼教品格:0.0755|宗教祥瑞:0.6583|文人世情:0.1764,婚恋姻缘:夫妇、夫妻、妻、关系先验:婚恋关系、郎|家庭亲情:父母、子、母、父、母子|宗教祥瑞:观音、妖、仙、类别先验:神怪戏、神,combo-74dc7e8c,01000000/01028005_磨房产子.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01028006,蜈蚣岭,江湖戏,23.42,0.2735,0.2832,亲属关系,亲属关系|婚恋关系,除暴侠义,6,843.95,0.6467,善恶转化,除暴侠义|善恶转化,除暴侠义 + 善恶转化,2,6|9,忠义家国:3.36|政治权力:28.77|婚恋姻缘:245.44|家庭亲情:45.12|公案冤狱:0.0|除暴侠义:843.95|战争武略:19.92|恩怨报偿:14.9|善恶转化:42.69|礼教品格:44.93|宗教祥瑞:2.56|文人世情:13.45,忠义家国:0.004|政治权力:0.0341|婚恋姻缘:0.2908|家庭亲情:0.0535|公案冤狱:0.0|除暴侠义:1.0|战争武略:0.0236|恩怨报偿:0.0177|善恶转化:0.0506|礼教品格:0.0532|宗教祥瑞:0.003|文人世情:0.0159,婚恋姻缘:鸳鸯、小姐、成亲、关系先验:婚恋关系、夫妻|除暴侠义:武松、水浒、盗、类别先验:江湖戏、打虎,combo-d8f4758f,01000000/01028006_蜈蚣岭.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01028007,困曹府,历史戏,22.67,0.4654,0.5734,亲属关系,亲属关系,家庭亲情,4,148.86,0.3711,战争武略,家庭亲情|战争武略,家庭亲情 + 战争武略,2,4|7,忠义家国:7.7|政治权力:21.82|婚恋姻缘:4.68|家庭亲情:148.86|公案冤狱:0.99|除暴侠义:4.77|战争武略:92.08|恩怨报偿:43.07|善恶转化:16.53|礼教品格:17.76|宗教祥瑞:20.58|文人世情:22.32,忠义家国:0.0517|政治权力:0.1466|婚恋姻缘:0.0314|家庭亲情:1.0|公案冤狱:0.0067|除暴侠义:0.032|战争武略:0.6185|恩怨报偿:0.2893|善恶转化:0.111|礼教品格:0.1193|宗教祥瑞:0.1383|文人世情:0.1499,家庭亲情:父母、母、父、关系先验:亲属关系、子|战争武略:关、将、类别先验:历史戏、计、兵马,combo-29f389dd,01000000/01028007_困曹府.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01028009,沙桥饯别,历史戏,23.81,0.3371,0.281,权力关系,权力关系|亲属关系,政治权力,2,177.07,0.3847,礼教品格,政治权力|礼教品格,政治权力 + 礼教品格,2,2|10,忠义家国:13.05|政治权力:177.07|婚恋姻缘:0.0|家庭亲情:25.73|公案冤狱:2.81|除暴侠义:0.0|战争武略:56.88|恩怨报偿:8.36|善恶转化:4.23|礼教品格:67.71|宗教祥瑞:69.0|文人世情:35.5,忠义家国:0.0737|政治权力:1.0|婚恋姻缘:0.0|家庭亲情:0.1453|公案冤狱:0.0159|除暴侠义:0.0|战争武略:0.3213|恩怨报偿:0.0472|善恶转化:0.0239|礼教品格:0.3824|宗教祥瑞:0.3897|文人世情:0.2005,政治权力:天子、帝、金殿、关系先验:权力关系、类别先验:历史戏|礼教品格:教、节、礼、关系先验:亲属关系、贞|宗教祥瑞:佛、鬼、神仙、神、仙,combo-b014fe84,01000000/01028009_沙桥饯别.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01028010,背凳,家庭戏,26.26,0.4847,0.6285,亲属关系,亲属关系,家庭亲情,4,271.56,0.7393,礼教品格,家庭亲情|礼教品格,家庭亲情 + 礼教品格,2,4|10,忠义家国:12.42|政治权力:1.03|婚恋姻缘:8.68|家庭亲情:271.56|公案冤狱:0.0|除暴侠义:0.54|战争武略:10.56|恩怨报偿:17.8|善恶转化:4.68|礼教品格:28.43|宗教祥瑞:2.56|文人世情:9.05,忠义家国:0.0457|政治权力:0.0038|婚恋姻缘:0.032|家庭亲情:1.0|公案冤狱:0.0|除暴侠义:0.002|战争武略:0.0389|恩怨报偿:0.0655|善恶转化:0.0172|礼教品格:0.1047|宗教祥瑞:0.0094|文人世情:0.0333,家庭亲情:兄弟、父母、子、类别先验:家庭戏、父,combo-6bfa251f,01000000/01028010_背凳.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01029001,花田错【后本】,家庭戏,34.75,0.2012,0.3738,亲属关系,亲属关系|婚恋关系,婚恋姻缘,3,293.51,0.3488,文人世情,婚恋姻缘|文人世情,婚恋姻缘 + 文人世情,2,3|12,忠义家国:37.08|政治权力:2.83|婚恋姻缘:293.51|家庭亲情:88.83|公案冤狱:47.5|除暴侠义:19.04|战争武略:26.77|恩怨报偿:83.38|善恶转化:5.7|礼教品格:38.71|宗教祥瑞:60.77|文人世情:137.44,忠义家国:0.1263|政治权力:0.0097|婚恋姻缘:1.0|家庭亲情:0.3026|公案冤狱:0.1619|除暴侠义:0.0649|战争武略:0.0912|恩怨报偿:0.2841|善恶转化:0.0194|礼教品格:0.1319|宗教祥瑞:0.207|文人世情:0.4683,婚恋姻缘:姻缘、洞房、小姐、钗、婚姻|文人世情:状元、楼、花、文、书生,combo-00a071b5,01000000/01029001_花田错【后本】.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01029002,关王庙,历史戏,25.01,0.3565,0.2719,亲属关系,亲属关系|权力关系|婚恋关系,战争武略,7,111.59,0.2162,政治权力|恩怨报偿|宗教祥瑞,政治权力|战争武略|恩怨报偿|宗教祥瑞,政治权力 + 战争武略 + 恩怨报偿 + 宗教祥瑞,4,2|7|8|11,忠义家国:19.2|政治权力:69.28|婚恋姻缘:16.27|家庭亲情:65.37|公案冤狱:3.21|除暴侠义:0.0|战争武略:111.59|恩怨报偿:77.72|善恶转化:29.43|礼教品格:18.89|宗教祥瑞:71.66|文人世情:33.6,忠义家国:0.1721|政治权力:0.6209|婚恋姻缘:0.1458|家庭亲情:0.5858|公案冤狱:0.0288|除暴侠义:0.0|战争武略:1.0|恩怨报偿:0.6964|善恶转化:0.2637|礼教品格:0.1693|宗教祥瑞:0.6421|文人世情:0.3011,政治权力:王、关系先验:权力关系、类别先验:历史戏、官|战争武略:关、将、将军、兵、类别先验:历史戏|恩怨报偿:还愿、报、关系先验:亲属关系、恨、恩|宗教祥瑞:庙、托梦、神、梦、仙,combo-1d9f0d61,01000000/01029002_关王庙.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01029004,九阳钟【二本】,历史戏,58.25,0.0529,0.1965,婚恋关系,婚恋关系|亲属关系|冲突关系,战争武略,7,403.84,0.2452,婚恋姻缘|家庭亲情|除暴侠义,婚恋姻缘|家庭亲情|除暴侠义|战争武略,婚恋姻缘 + 家庭亲情 + 除暴侠义 + 战争武略,4,3|4|6|7,忠义家国:115.64|政治权力:185.19|婚恋姻缘:285.52|家庭亲情:195.24|公案冤狱:39.99|除暴侠义:215.19|战争武略:403.84|恩怨报偿:55.5|善恶转化:39.11|礼教品格:46.64|宗教祥瑞:38.62|文人世情:26.23,忠义家国:0.2864|政治权力:0.4586|婚恋姻缘:0.707|家庭亲情:0.4835|公案冤狱:0.099|除暴侠义:0.5329|战争武略:1.0|恩怨报偿:0.1374|善恶转化:0.0968|礼教品格:0.1155|宗教祥瑞:0.0956|文人世情:0.0649,婚恋姻缘:夫妻、夫人、妻、夫妇、关系先验:婚恋关系|家庭亲情:父子、女、父、母、兄弟|除暴侠义:林冲、英雄、武松、山寨、虎|战争武略:退兵、军师、兵、将军、军,combo-a9e4454b,01000000/01029004_九阳钟【二本】.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01029005,普球山,江湖戏,35.22,0.1002,0.2302,亲属关系,亲属关系,除暴侠义,6,438.63,0.6471,善恶转化,除暴侠义|善恶转化,除暴侠义 + 善恶转化,2,6|9,忠义家国:4.86|政治权力:10.86|婚恋姻缘:18.81|家庭亲情:98.49|公案冤狱:9.0|除暴侠义:438.63|战争武略:19.29|恩怨报偿:20.12|善恶转化:24.81|礼教品格:20.28|宗教祥瑞:6.03|文人世情:6.71,忠义家国:0.0111|政治权力:0.0248|婚恋姻缘:0.0429|家庭亲情:0.2245|公案冤狱:0.0205|除暴侠义:1.0|战争武略:0.044|恩怨报偿:0.0459|善恶转化:0.0566|礼教品格:0.0462|宗教祥瑞:0.0137|文人世情:0.0153,除暴侠义:英雄、盗、绿林、类别先验:江湖戏、盗贼,combo-d8f4758f,01000000/01029005_普球山.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01029006,山海关【五、六本】,历史戏,40.64,0.0653,0.1766,权力关系,权力关系|亲属关系,战争武略,7,255.69,0.3435,政治权力,政治权力|战争武略,政治权力 + 战争武略,2,2|7,忠义家国:59.1|政治权力:147.36|婚恋姻缘:19.8|家庭亲情:79.22|公案冤狱:5.38|除暴侠义:8.6|战争武略:255.69|恩怨报偿:67.34|善恶转化:9.69|礼教品格:40.17|宗教祥瑞:38.27|文人世情:13.71,忠义家国:0.2311|政治权力:0.5763|婚恋姻缘:0.0774|家庭亲情:0.3098|公案冤狱:0.021|除暴侠义:0.0336|战争武略:1.0|恩怨报偿:0.2634|善恶转化:0.0379|礼教品格:0.1571|宗教祥瑞:0.1497|文人世情:0.0536,政治权力:帝、圣旨、官、王、奏本|战争武略:关、兵、将、将军、军,combo-b8241900,01000000/01029006_山海关【五、六本】.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01029007,吴汉杀妻,历史戏,24.53,0.2349,0.4698,权力关系,权力关系|亲属关系|审判与恩怨关系,政治权力,2,194.85,0.2469,家庭亲情|战争武略,政治权力|家庭亲情|战争武略,政治权力 + 家庭亲情 + 战争武略,3,2|4|7,忠义家国:18.24|政治权力:194.85|婚恋姻缘:59.67|家庭亲情:188.13|公案冤狱:22.92|除暴侠义:0.0|战争武略:96.56|恩怨报偿:78.76|善恶转化:15.99|礼教品格:49.23|宗教祥瑞:42.44|文人世情:22.55,忠义家国:0.0936|政治权力:1.0|婚恋姻缘:0.3062|家庭亲情:0.9655|公案冤狱:0.1176|除暴侠义:0.0|战争武略:0.4956|恩怨报偿:0.4042|善恶转化:0.0821|礼教品格:0.2527|宗教祥瑞:0.2178|文人世情:0.1157,政治权力:皇帝、王、臣、帝、关系先验:权力关系|家庭亲情:母、母亲、父、子、亲|战争武略:将、关、类别先验:历史戏、军、计|恩怨报偿:仇、冤仇、报仇、怨、关系先验:审判与恩怨关系,combo-e50e2916,01000000/01029007_吴汉杀妻.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01030001,黛玉焚稿,家庭戏,33.85,0.1555,0.2023,亲属关系,亲属关系|婚恋关系,婚恋姻缘,3,170.66,0.3449,家庭亲情,婚恋姻缘|家庭亲情,婚恋姻缘 + 家庭亲情,2,3|4,忠义家国:0.0|政治权力:16.04|婚恋姻缘:170.66|家庭亲情:113.61|公案冤狱:1.8|除暴侠义:0.0|战争武略:36.53|恩怨报偿:39.46|善恶转化:22.05|礼教品格:31.6|宗教祥瑞:5.99|文人世情:57.0,忠义家国:0.0|政治权力:0.094|婚恋姻缘:1.0|家庭亲情:0.6657|公案冤狱:0.0105|除暴侠义:0.0|战争武略:0.214|恩怨报偿:0.2312|善恶转化:0.1292|礼教品格:0.1852|宗教祥瑞:0.0351|文人世情:0.334,婚恋姻缘:钗、夫人、婚姻、姻缘、关系先验:婚恋关系|家庭亲情:兄弟、母、子、类别先验:家庭戏、女,combo-a95186b5,01000000/01030001_黛玉焚稿.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01030004,三雅园,历史戏,41.14,0.1124,0.2106,亲属关系,亲属关系|权力关系|同盟关系,除暴侠义,6,220.34,0.2374,家庭亲情|恩怨报偿,家庭亲情|除暴侠义|恩怨报偿,家庭亲情 + 除暴侠义 + 恩怨报偿,3,4|6|8,忠义家国:17.96|政治权力:67.06|婚恋姻缘:84.33|家庭亲情:139.22|公案冤狱:12.12|除暴侠义:220.34|战争武略:72.87|恩怨报偿:109.79|善恶转化:53.85|礼教品格:49.77|宗教祥瑞:11.25|文人世情:89.59,忠义家国:0.0815|政治权力:0.3044|婚恋姻缘:0.3827|家庭亲情:0.6318|公案冤狱:0.055|除暴侠义:1.0|战争武略:0.3307|恩怨报偿:0.4983|善恶转化:0.2444|礼教品格:0.2259|宗教祥瑞:0.0511|文人世情:0.4066,家庭亲情:兄弟、子、关系先验:亲属关系、儿、父|除暴侠义:武松、虎、盗、强盗、李逵|恩怨报偿:报仇、恨、仇、怨、报|文人世情:园、茶馆、文、士、才,combo-a3e9c1ba,01000000/01030004_三雅园.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01030006,山海关【七、八本】,历史戏,33.17,0.1272,0.4243,权力关系,权力关系|亲属关系|同盟关系,政治权力,2,286.81,0.3815,战争武略,政治权力|战争武略,政治权力 + 战争武略,2,2|7,忠义家国:29.24|政治权力:286.81|婚恋姻缘:1.44|家庭亲情:79.74|公案冤狱:14.95|除暴侠义:23.12|战争武略:166.92|恩怨报偿:9.02|善恶转化:16.71|礼教品格:19.92|宗教祥瑞:17.76|文人世情:86.1,忠义家国:0.1019|政治权力:1.0|婚恋姻缘:0.005|家庭亲情:0.278|公案冤狱:0.0521|除暴侠义:0.0806|战争武略:0.582|恩怨报偿:0.0314|善恶转化:0.0583|礼教品格:0.0695|宗教祥瑞:0.0619|文人世情:0.3002,政治权力:朝廷、天子、帝、朝、王|战争武略:兵、关、军、将、将军,combo-b8241900,01000000/01030006_山海关【七、八本】.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01030008,串珠记,家庭戏,33.43,0.2098,0.37,亲属关系,亲属关系,家庭亲情,4,353.27,0.3835,公案冤狱,家庭亲情|公案冤狱,家庭亲情 + 公案冤狱,2,4|5,忠义家国:0.54|政治权力:22.83|婚恋姻缘:114.13|家庭亲情:353.27|公案冤狱:236.53|除暴侠义:24.98|战争武略:39.63|恩怨报偿:24.01|善恶转化:17.73|礼教品格:49.31|宗教祥瑞:10.47|文人世情:27.85,忠义家国:0.0015|政治权力:0.0646|婚恋姻缘:0.3231|家庭亲情:1.0|公案冤狱:0.6696|除暴侠义:0.0707|战争武略:0.1122|恩怨报偿:0.068|善恶转化:0.0502|礼教品格:0.1396|宗教祥瑞:0.0296|文人世情:0.0789,家庭亲情:父母、父亲、父、母、亲|公案冤狱:昭雪、审问、冤、案、审,combo-26510932,01000000/01030008_串珠记.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01030009,贾政训子,家庭戏,28.26,0.2451,0.3366,亲属关系,亲属关系|权力关系,礼教品格,10,486.76,0.374,家庭亲情,家庭亲情|礼教品格,家庭亲情 + 礼教品格,2,4|10,忠义家国:29.56|政治权力:35.58|婚恋姻缘:152.2|家庭亲情:481.13|公案冤狱:2.0|除暴侠义:5.04|战争武略:26.22|恩怨报偿:12.28|善恶转化:17.13|礼教品格:486.76|宗教祥瑞:15.3|文人世情:38.34,忠义家国:0.0607|政治权力:0.0731|婚恋姻缘:0.3127|家庭亲情:0.9884|公案冤狱:0.0041|除暴侠义:0.0104|战争武略:0.0539|恩怨报偿:0.0252|善恶转化:0.0352|礼教品格:1.0|宗教祥瑞:0.0314|文人世情:0.0788,家庭亲情:训子、母、子、母亲、父|礼教品格:训子、训、教、节、孝顺,combo-6bfa251f,01000000/01030009_贾政训子.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
