数据范围,主题组合ID,主题组合,主题组合显示,主题数量,主题序号集合,x起点序号,x终点序号,剧本数量,矩阵行排序,主要核心主题,核心主题分布,主要核心关系,核心关系分布,剧目类别分布,平均网络密度,平均度中心化,平均内容量权重,剧本ID列表,代表剧目列表
全量,T040607,家庭亲情|除暴侠义|战争武略,家庭亲情 + 除暴侠义 + 战争武略,3,4|6|7,4,7,9,38,战争武略,战争武略:4|除暴侠义:4|家庭亲情:1,冲突关系,冲突关系:7|亲属关系:2,历史戏:5|江湖戏:3|神怪戏:1,0.4778,0.3602,36.38,01005002; 02001019; 02001034; 02006052; 02010002; 03058004; 05010002; 15013001; 70805105,浣纱记；攻潼关；搜孤救孤；黄草山；夺锦标；青峰岭；青草坡；虎符救赵；响马传
全量,T040710,家庭亲情|战争武略|礼教品格,家庭亲情 + 战争武略 + 礼教品格,3,4|7|10,4,10,9,39,战争武略,战争武略:5|礼教品格:3|家庭亲情:1,亲属关系,亲属关系:7|冲突关系:1|婚恋关系:1,历史戏:7|家庭戏:2,0.7611,0.2156,29.0722,01003005; 01011012; 01016003; 01027011; 01035002; 02001021; 02003030; 03054003; 05004005,拾黄金；摩天岭；单刀赴会；战潼台；徐母骂曹；孝感天；徐母骂曹；马跳潭溪；袁吕结亲
全量,T040708,家庭亲情|战争武略|恩怨报偿,家庭亲情 + 战争武略 + 恩怨报偿,3,4|7|8,4,8,9,40,战争武略,战争武略:5|恩怨报偿:2|家庭亲情:2,冲突关系,冲突关系:4|亲属关系:3|同盟关系:2,历史戏:6|家庭戏:2|公案戏:1,0.7926,0.2185,31.1544,01009013; 01015002; 02012037; 03016004; 03039002; 03042001; 03042002; 70006101; 80000008,长亭会；古城相会；弓砚缘；白龙关；一捧雪；父子圆；卧虎山；搜孤救孤；哭灵牌
全量,T0106,忠义家国|除暴侠义,忠义家国 + 除暴侠义,2,1|6,1,6,8,41,除暴侠义,除暴侠义:6|忠义家国:2,亲属关系,亲属关系:4|权力关系:2|审判与恩怨关系:1|冲突关系:1,江湖戏:7|历史戏:1,0.8187,0.1639,32.1238,01014006; 01019011; 02009035; 02012001; 02012002; 02012012; 04009002; 14001005,丁甲山；九龙杯；快活林；忠义图；忠义图；九龙杯；岳母刺字；丁甲山
全量,T020410,政治权力|家庭亲情|礼教品格,政治权力 + 家庭亲情 + 礼教品格,3,2|4|10,2,10,8,42,政治权力,政治权力:5|家庭亲情:3,权力关系,权力关系:4|亲属关系:3|同盟关系:1,家庭戏:4|公案戏:2|江湖戏:1|历史戏:1,0.9583,0.125,24.6975,01002014; 01021008; 03012002; 03021003; 03056002; 70201101; 70902172; 70902177,宇宙锋；双合印；背楼；三击掌；时迁偷鸡；宇宙锋；艳云亭·痴诉；铁冠图·分宫
全量,T041112,家庭亲情|宗教祥瑞|文人世情,家庭亲情 + 宗教祥瑞 + 文人世情,3,4|11|12,4,12,8,43,家庭亲情,家庭亲情:5|文人世情:2|宗教祥瑞:1,亲属关系,亲属关系:8,神怪戏:4|家庭戏:2|公案戏:1|历史戏:1,0.5752,0.2073,34.4838,01036005; 03012003; 03048005; 04022004; 70002202; 70201105; 70902110; 70902111,天女散花；乾坤福寿镜；瞎子逛灯；劈山救母；胭脂宝褶；天女散花；牡丹亭·惊梦；牡丹亭·寻梦
全量,T070809,战争武略|恩怨报偿|善恶转化,战争武略 + 恩怨报偿 + 善恶转化,3,7|8|9,7,9,8,44,战争武略,战争武略:6|善恶转化:1|恩怨报偿:1,冲突关系,冲突关系:4|审判与恩怨关系:4,历史戏:8,0.7465,0.1615,36.21,01001019; 01035006; 02008013; 03019004; 03042005; 03100001; 70006107; 70601105,柴桑口；道州城；破华州；取金陵；明末孤忠；虹霓关；珠帘寨；赤壁鏖兵
全量,T0212,政治权力|文人世情,政治权力 + 文人世情,2,2|12,2,12,7,45,文人世情,文人世情:7,权力关系,权力关系:6|审判与恩怨关系:1,公案戏:2|历史戏:2|家庭戏:2|神怪戏:1,0.9524,0.0714,29.0014,01015012; 03068001; 04022002; 70902127; 70902128; 70902158; 90000010,一捧雪；新莽闱；描容上路；长生殿·酒楼；长生殿·絮阁；牡丹亭·硬拷；红梅阁
全量,T0408,家庭亲情|恩怨报偿,家庭亲情 + 恩怨报偿,2,4|8,4,8,7,46,家庭亲情,家庭亲情:6|恩怨报偿:1,亲属关系,亲属关系:6|婚恋关系:1,历史戏:4|江湖戏:2|家庭戏:1,1.1621,0.1398,30.1086,01011004; 02012039; 03034003; 04008002; 05024008; 70002203; 94000001,烧绵山；弓砚缘；漂母饭信；十三妹；曹营见母；二堂舍子；别宫祭江
全量,T020411,政治权力|家庭亲情|宗教祥瑞,政治权力 + 家庭亲情 + 宗教祥瑞,3,2|4|11,2,11,7,47,家庭亲情,家庭亲情:3|宗教祥瑞:3|政治权力:1,权力关系,权力关系:3|亲属关系:3|冲突关系:1,家庭戏:3|神怪戏:2|江湖戏:1|历史戏:1,0.5857,0.0619,24.1829,03052005; 03076002; 04012001; 70902132; 70904115; 70904208; 70904214,朝金顶；秦淮河；二堂舍子；长生殿·哭像；西游记·胖姑学舌；西游记·胖姑学舌；九莲灯·焚宫烧狱
全量,T020506,政治权力|公案冤狱|除暴侠义,政治权力 + 公案冤狱 + 除暴侠义,3,2|5|6,2,6,7,48,政治权力,政治权力:6|公案冤狱:1,权力关系,权力关系:6|审判与恩怨关系:1,江湖戏:5|公案戏:2,0.3302,0.0333,28.3471,01013020; 01027005; 02012007; 02012008; 02012009; 02012010; 02012011,花蝴蝶；三门街；九龙杯；九龙杯；九龙杯；九龙杯；九龙杯
全量,T020507,政治权力|公案冤狱|战争武略,政治权力 + 公案冤狱 + 战争武略,3,2|5|7,2,7,7,49,战争武略,战争武略:3|政治权力:2|公案冤狱:2,权力关系,权力关系:3|审判与恩怨关系:3|冲突关系:1,历史戏:6|公案戏:1,0.898,0.2313,36.3043,01024007; 03008001; 03008003; 03055002; 03055005; 05002001; 05024001,挡幽王；风雪夺昆仑；反延安；双龙会；永平安；斩彭越；鞭打督邮
全量,T030405,婚恋姻缘|家庭亲情|公案冤狱,婚恋姻缘 + 家庭亲情 + 公案冤狱,3,3|4|5,3,5,7,50,家庭亲情,家庭亲情:6|公案冤狱:1,亲属关系,亲属关系:6|审判与恩怨关系:1,公案戏:5|家庭戏:1|神怪戏:1,0.7247,0.3127,41.8071,01024006; 01039001; 03020002; 03040001; 03040002; 03043003; 70902138,雪杯圆；贩马记；游湖阴配；双玉镯；法门寺；涿州判；奇双会·写状
全量,T030708,婚恋姻缘|战争武略|恩怨报偿,婚恋姻缘 + 战争武略 + 恩怨报偿,3,3|7|8,3,8,7,51,恩怨报偿,恩怨报偿:3|婚恋姻缘:3|战争武略:1,婚恋关系,婚恋关系:4|审判与恩怨关系:2|冲突关系:1,历史戏:6|神怪戏:1,0.9374,0.0905,30.3414,01008006; 01040006; 02008054; 02011047; 03004001; 05012001; 70902178,虹霓关；金光阵；双挂印；刺虎；别宫祭江；吴越春秋；铁冠图·刺虎
全量,T040709,家庭亲情|战争武略|善恶转化,家庭亲情 + 战争武略 + 善恶转化,3,4|7|9,4,9,7,52,家庭亲情,家庭亲情:4|战争武略:2|善恶转化:1,亲属关系,亲属关系:5|冲突关系:2,历史戏:4|家庭戏:1|神怪戏:1|江湖戏:1,0.8092,0.1463,28.9571,01001008; 01022010; 03013005; 03021005; 03030005; 70901136; 94000003,取成都；飞叉阵；反五侯；平贵别窑；雁门关；升平宝筏·激猴；打孟良
全量,T02040708,政治权力|家庭亲情|战争武略|恩怨报偿,政治权力 + 家庭亲情 + 战争武略 + 恩怨报偿,4,2|4|7|8,2,8,7,53,政治权力,政治权力:4|家庭亲情:1|战争武略:1|恩怨报偿:1,权力关系,权力关系:6|亲属关系:1,历史戏:5|家庭戏:1|公案戏:1,0.6075,0.3128,43.3586,01015011; 01025010; 02001026; 03038003; 03072001; 14009005; 70002105,庆阳图；东宫扫雪；米注山；秋生造律；春秋笔；香妃恨；赵氏孤儿
全量,T1112,宗教祥瑞|文人世情,宗教祥瑞 + 文人世情,2,11|12,11,12,6,54,宗教祥瑞,宗教祥瑞:4|文人世情:2,亲属关系,亲属关系:2|权力关系:2|冲突关系:1|婚恋关系:1,神怪戏:3|家庭戏:2|历史戏:1,0.6667,0.0,19.5567,01027007; 03040003; 03060004; 04037003; 70902112; 70902113,戏牡丹；刘瑾逛花园；花亭射妖；钟馗嫁妹；牡丹亭·拾画；牡丹亭·叫画
全量,T0310,婚恋姻缘|礼教品格,婚恋姻缘 + 礼教品格,2,3|10,3,10,6,55,婚恋姻缘,婚恋姻缘:5|礼教品格:1,婚恋关系,婚恋关系:5|冲突关系:1,家庭戏:4|历史戏:1|江湖戏:1,1.0,0.0,26.215,03002002; 03021010; 03093002; 04010005; 70006106; 80000004,小上坟；武家坡；鹦鹉洲；三岔口；武家坡；武家坡
全量,T0506,公案冤狱|除暴侠义,公案冤狱 + 除暴侠义,2,5|6,5,6,6,56,除暴侠义,除暴侠义:6,审判与恩怨关系,审判与恩怨关系:5|冲突关系:1,江湖戏:5|公案戏:1,0.5019,0.1824,42.5533,01006010; 01012002; 01013010; 01024001; 03071003; 04010006,落马湖；闹江州；八蜡庙；宏碧缘；浔阳楼；通天犀
全量,T010407,忠义家国|家庭亲情|战争武略,忠义家国 + 家庭亲情 + 战争武略,3,1|4|7,1,7,6,57,家庭亲情,家庭亲情:3|忠义家国:2|战争武略:1,亲属关系,亲属关系:5|冲突关系:1,历史戏:5|家庭戏:1,0.7143,0.2,35.0133,01017008; 02011041; 03100006; 04014002; 05004008; 70801109,斩貂蝉；宁武关；锁阳关；岳家庄；月下赞貂婵；江汉渔歌
全量,T020312,政治权力|婚恋姻缘|文人世情,政治权力 + 婚恋姻缘 + 文人世情,3,2|3|12,2,12,6,58,文人世情,文人世情:4|婚恋姻缘:2,权力关系,权力关系:3|婚恋关系:3,家庭戏:5|公案戏:1,0.8556,0.1833,28.55,01010007; 01019005; 03021001; 70001205; 70006112; 70902159,打面缸；马前泼水；花园赠金；义责王魁；御碑亭；金雀记·乔醋
全量,T030411,婚恋姻缘|家庭亲情|宗教祥瑞,婚恋姻缘 + 家庭亲情 + 宗教祥瑞,3,3|4|11,3,11,6,59,婚恋姻缘,婚恋姻缘:4|宗教祥瑞:1|家庭亲情:1,婚恋关系,婚恋关系:5|亲属关系:1,神怪戏:3|家庭戏:3,0.7028,0.2397,27.0183,01003015; 01022008; 01027012; 01027013; 01028005; 01031012,阴阳河；喂药；看香头；长生乐；磨房产子；瑶池会
全量,T02030412,政治权力|婚恋姻缘|家庭亲情|文人世情,政治权力 + 婚恋姻缘 + 家庭亲情 + 文人世情,4,2|3|4|12,2,12,6,60,文人世情,文人世情:3|婚恋姻缘:1|家庭亲情:1|政治权力:1,权力关系,权力关系:3|婚恋关系:2|亲属关系:1,家庭戏:4|公案戏:1|历史戏:1,0.8115,0.2603,43.745,02002016; 03077001; 03079001; 03097001; 04010001; 80000021,卓文君；赵五娘；卓文君；斩伍奢；彩楼配；文姬归汉
全量,T010212,忠义家国|政治权力|文人世情,忠义家国 + 政治权力 + 文人世情,3,1|2|12,1,12,5,61,政治权力,政治权力:4|文人世情:1,权力关系,权力关系:4|冲突关系:1,历史戏:5,0.9718,0.0333,31.53,01016001; 02006056; 03028005; 70902126; 80000026,骂杨广；醉写；汤怀自刎；千忠戮·惨睹；桃花扇
全量,T021012,政治权力|礼教品格|文人世情,政治权力 + 礼教品格 + 文人世情,3,2|10|12,2,12,5,62,文人世情,文人世情:2|政治权力:2|礼教品格:1,权力关系,权力关系:5,历史戏:4|神怪戏:1,0.5795,0.0242,32.294,01024003; 02006059; 03021008; 03078003; 70204107,金马门；骂门；鸿雁捎书；孟尝君；桃花扇
全量,T020307,政治权力|婚恋姻缘|战争武略,政治权力 + 婚恋姻缘 + 战争武略,3,2|3|7,2,7,5,63,战争武略,战争武略:4|政治权力:1,婚恋关系,婚恋关系:3|权力关系:1|冲突关系:1,历史戏:5,0.8921,0.1578,31.766,01005005; 05016002; 70003107; 70901145; 90000008,沙陀国；敬德装疯；赐袍赠马；列国传·棋盘会；双阳公主
全量,T030406,婚恋姻缘|家庭亲情|除暴侠义,婚恋姻缘 + 家庭亲情 + 除暴侠义,3,3|4|6,3,6,5,64,家庭亲情,家庭亲情:4|婚恋姻缘:1,亲属关系,亲属关系:4|婚恋关系:1,江湖戏:3|公案戏:1|家庭戏:1,0.9419,0.0914,35.666,01040004; 03014003; 03022003; 14007006; 80000032,倒厅门；得意缘；古押衙；翠屏山；千里送京娘
全量,T040911,家庭亲情|善恶转化|宗教祥瑞,家庭亲情 + 善恶转化 + 宗教祥瑞,3,4|9|11,4,11,5,65,宗教祥瑞,宗教祥瑞:2|善恶转化:2|家庭亲情:1,亲属关系,亲属关系:5,神怪戏:4|家庭戏:1,0.1889,0.2226,29.458,01015009; 01031006; 02006031; 03099003; 03109001,盗魂铃；莲花塘；五庄观；莲花洞；河伯娶妇
全量,T070811,战争武略|恩怨报偿|宗教祥瑞,战争武略 + 恩怨报偿 + 宗教祥瑞,3,7|8|11,7,11,5,66,战争武略,战争武略:4|宗教祥瑞:1,冲突关系,冲突关系:4|审判与恩怨关系:1,神怪戏:3|家庭戏:1|历史戏:1,0.58,0.0333,26.21,01019010; 02001048; 02011021; 03027001; 03075004,佘塘关；五雷阵；飞坡岛；五雷阵；神亭岭
全量,T070911,战争武略|善恶转化|宗教祥瑞,战争武略 + 善恶转化 + 宗教祥瑞,3,7|9|11,7,11,5,67,善恶转化,善恶转化:2|宗教祥瑞:2|战争武略:1,冲突关系,冲突关系:3|权力关系:2,神怪戏:5,0.5333,0.2,27.262,02006027; 02006038; 05025002; 13004004; 70901134,黑风山；莲花洞；大闹蛇盘山鹰愁涧；安天会·大战；升平宝筏·擒猴
全量,T02030407,政治权力|婚恋姻缘|家庭亲情|战争武略,政治权力 + 婚恋姻缘 + 家庭亲情 + 战争武略,4,2|3|4|7,2,7,5,68,婚恋姻缘,婚恋姻缘:2|战争武略:2|政治权力:1,婚恋关系,婚恋关系:3|权力关系:2,历史戏:3|家庭戏:2,0.6542,0.1813,41.484,01011003; 02008040; 03051005; 05016001; 80000005,回龙阁；五台山；马陵道；双义节；火牛阵
全量,T02040710,政治权力|家庭亲情|战争武略|礼教品格,政治权力 + 家庭亲情 + 战争武略 + 礼教品格,4,2|4|7|10,2,10,5,69,家庭亲情,家庭亲情:3|战争武略:2,亲属关系,亲属关系:5,历史戏:5,0.9333,0.0467,32.574,01004009; 01025008; 03004002; 03013001; 03054008,忠孝全；刘秀走国；胭脂虎；渭水河；一请诸葛
全量,T03040709,婚恋姻缘|家庭亲情|战争武略|善恶转化,婚恋姻缘 + 家庭亲情 + 战争武略 + 善恶转化,4,3|4|7|9,3,9,5,70,战争武略,战争武略:2|婚恋姻缘:2|善恶转化:1,婚恋关系,婚恋关系:3|亲属关系:1|冲突关系:1,历史戏:3|家庭戏:1|神怪戏:1,0.9333,0.1333,37.718,01011008; 02006036; 03005001; 03008004; 05014008,马上缘；救儒逃洞；合欢图；通海沟；截江夺斗
全量,T0811,恩怨报偿|宗教祥瑞,恩怨报偿 + 宗教祥瑞,2,8|11,8,11,4,71,宗教祥瑞,宗教祥瑞:4,婚恋关系,婚恋关系:2|审判与恩怨关系:1|权力关系:1,神怪戏:4,0.6961,0.3942,32.8275,01006015; 01027006; 01033002; 02008016,罗成托梦；怒斩于神仙；水漫金山寺；因果报
全量,T010710,忠义家国|战争武略|礼教品格,忠义家国 + 战争武略 + 礼教品格,3,1|7|10,1,10,4,72,战争武略,战争武略:4,冲突关系,冲突关系:3|同盟关系:1,历史戏:4,0.9833,0.025,22.94,01003010; 01023007; 70005111; 70902130,战蒲关；百凉楼；马嵬驿；长生殿·埋玉
全量,T020711,政治权力|战争武略|宗教祥瑞,政治权力 + 战争武略 + 宗教祥瑞,3,2|7|11,2,11,4,73,战争武略,战争武略:4,冲突关系,冲突关系:3|权力关系:1,神怪戏:3|历史戏:1,0.8417,0.375,31.0725,01036007; 01039007; 02001047; 02008027,刀劈三关；斩妲己；五雷阵；输华山
全量,T040512,家庭亲情|公案冤狱|文人世情,家庭亲情 + 公案冤狱 + 文人世情,3,4|5|12,4,12,4,74,公案冤狱,公案冤狱:3|家庭亲情:1,审判与恩怨关系,审判与恩怨关系:3|亲属关系:1,公案戏:4,0.7974,0.2619,37.9125,03041007; 03091008; 04034001; 70202105,双合印；马房释放；双合印；窦娥冤
全量,T040712,家庭亲情|战争武略|文人世情,家庭亲情 + 战争武略 + 文人世情,3,4|7|12,4,12,4,75,战争武略,战争武略:2|家庭亲情:1|文人世情:1,亲属关系,亲属关系:2|冲突关系:1|同盟关系:1,历史戏:3|家庭戏:1,0.9,0.1667,27.7275,01037003; 03027004; 03054004; 70003102,三字经；徐庶劝友；水镜庄；桃园结义
全量,T040812,家庭亲情|恩怨报偿|文人世情,家庭亲情 + 恩怨报偿 + 文人世情,3,4|8|12,4,12,4,76,恩怨报偿,恩怨报偿:2|文人世情:1|家庭亲情:1,审判与恩怨关系,审判与恩怨关系:2|亲属关系:2,神怪戏:2|公案戏:1|家庭戏:1,0.75,0.0,25.3575,01002020; 03037001; 03074005; 13004002,白状元祭塔；金瓶女；马鞍山；洛阳桥·下海
全量,T040809,家庭亲情|恩怨报偿|善恶转化,家庭亲情 + 恩怨报偿 + 善恶转化,3,4|8|9,4,9,4,77,善恶转化,善恶转化:2|家庭亲情:2,冲突关系,冲突关系:2|亲属关系:2,江湖戏:2|家庭戏:1|历史戏:1,0.7,0.0833,29.4725,01002016; 01020002; 03033007; 80000002,打渔杀家；戏迷传；打龙棚；打渔杀家
全量,T02040709,政治权力|家庭亲情|战争武略|善恶转化,政治权力 + 家庭亲情 + 战争武略 + 善恶转化,4,2|4|7|9,2,9,4,78,战争武略,战争武略:2|家庭亲情:1|善恶转化:1,权力关系,权力关系:2|亲属关系:1|冲突关系:1,历史戏:3|神怪戏:1,0.6477,0.1227,34.0925,01004010; 03060002; 03079002; 03098002,双投唐；洒金桥；苏武牧羊；广泰庄
全量,T02070911,政治权力|战争武略|善恶转化|宗教祥瑞,政治权力 + 战争武略 + 善恶转化 + 宗教祥瑞,4,2|7|9|11,2,11,4,79,善恶转化,善恶转化:3|政治权力:1,权力关系,权力关系:3|冲突关系:1,神怪戏:3|历史戏:1,0.7917,0.3333,34.575,02001017; 02006069; 70005112; 70805104,太师托梦；祥梅寺；刀劈三关；大闹天宫
全量,T03040607,婚恋姻缘|家庭亲情|除暴侠义|战争武略,婚恋姻缘 + 家庭亲情 + 除暴侠义 + 战争武略,4,3|4|6|7,3,7,4,80,除暴侠义,除暴侠义:2|家庭亲情:1|战争武略:1,婚恋关系,婚恋关系:2|冲突关系:1|亲属关系:1,江湖戏:3|历史戏:1,0.552,0.3354,41.885,01002008; 01010010; 01028002; 01029004,八义图；锁云囊；九阳钟；九阳钟
全量,T03040608,婚恋姻缘|家庭亲情|除暴侠义|恩怨报偿,婚恋姻缘 + 家庭亲情 + 除暴侠义 + 恩怨报偿,4,3|4|6|8,3,8,4,81,除暴侠义,除暴侠义:2|家庭亲情:1|恩怨报偿:1,亲属关系,亲属关系:2|婚恋关系:1|冲突关系:1,江湖戏:2|历史戏:1|家庭戏:1,1.0,0.0,45.84,01004015; 02002007; 03050003; 03084001,新安驿；韩信；铁丘坟；送京娘
全量,T1012,礼教品格|文人世情,礼教品格 + 文人世情,2,10|12,10,12,3,82,文人世情,文人世情:2|礼教品格:1,亲属关系,亲属关系:2|冲突关系:1,家庭戏:3,0.903,0.0778,26.8967,04022003; 04037001; 70902119,扫松下书；玉簪记；玉簪记·琴挑
全量,T0308,婚恋姻缘|恩怨报偿,婚恋姻缘 + 恩怨报偿,2,3|8,3,8,3,83,婚恋姻缘,婚恋姻缘:3,婚恋关系,婚恋关系:3,家庭戏:1|江湖戏:1|神怪戏:1,0.6667,0.0,20.8867,01002003; 01034006; 70901106,祭长江；镔铁剑；一种情·冥勘
全量,T0508,公案冤狱|恩怨报偿,公案冤狱 + 恩怨报偿,2,5|8,5,8,3,84,恩怨报偿,恩怨报偿:2|公案冤狱:1,审判与恩怨关系,审判与恩怨关系:3,家庭戏:1|历史戏:1|神怪戏:1,0.9333,0.1111,26.9067,01023003; 04045004; 80000018,举鼎观画；举鼎观画；奇冤报
全量,T010308,忠义家国|婚恋姻缘|恩怨报偿,忠义家国 + 婚恋姻缘 + 恩怨报偿,3,1|3|8,1,8,3,85,婚恋姻缘,婚恋姻缘:3,婚恋关系,婚恋关系:3,家庭戏:3,0.3985,0.539,44.0,04027001; 09007001; 70201110,生死恨；生死恨；生死恨
全量,T010708,忠义家国|战争武略|恩怨报偿,忠义家国 + 战争武略 + 恩怨报偿,3,1|7|8,1,8,3,86,战争武略,战争武略:2|恩怨报偿:1,冲突关系,冲突关系:2|审判与恩怨关系:1,历史戏:2|神怪戏:1,0.5,0.2222,25.6267,01013011; 03041006; 05009002,伐东吴；小显；雄州关
全量,T020412,政治权力|家庭亲情|文人世情,政治权力 + 家庭亲情 + 文人世情,3,2|4|12,2,12,3,87,政治权力,政治权力:2|文人世情:1,权力关系,权力关系:3,历史戏:3,0.3333,0.0,24.65,01010003; 02006048; 05004007,渭水河；五凤楼；七步吟
全量,T020911,政治权力|善恶转化|宗教祥瑞,政治权力 + 善恶转化 + 宗教祥瑞,3,2|9|11,2,11,3,88,宗教祥瑞,宗教祥瑞:3,权力关系,权力关系:3,神怪戏:3,0.7965,0.1889,37.5367,01016018; 01036003; 05025001,妙善出家；大香山；大闹御马监
全量,T031112,婚恋姻缘|宗教祥瑞|文人世情,婚恋姻缘 + 宗教祥瑞 + 文人世情,3,3|11|12,3,12,3,89,文人世情,文人世情:2|婚恋姻缘:1,婚恋关系,婚恋关系:3,家庭戏:2|神怪戏:1,0.8571,0.2,30.1333,01013014; 01020011; 01040005,金钱豹；送花楼会；万花船
全量,T030408,婚恋姻缘|家庭亲情|恩怨报偿,婚恋姻缘 + 家庭亲情 + 恩怨报偿,3,3|4|8,3,8,3,90,家庭亲情,家庭亲情:3,亲属关系,亲属关系:3,江湖戏:1|家庭戏:1|公案戏:1,0.8254,0.2444,27.9367,01013013; 01032006; 03039007,刺巴杰；芙蓉诔；祭雪艳
全量,T030508,婚恋姻缘|公案冤狱|恩怨报偿,婚恋姻缘 + 公案冤狱 + 恩怨报偿,3,3|5|8,3,8,3,91,婚恋姻缘,婚恋姻缘:2|公案冤狱:1,婚恋关系,婚恋关系:2|审判与恩怨关系:1,公案戏:2|神怪戏:1,0.9,0.1667,28.4367,01012015; 01013006; 70001202,一捧雪；奇冤报；审头刺汤
全量,T040910,家庭亲情|善恶转化|礼教品格,家庭亲情 + 善恶转化 + 礼教品格,3,4|9|10,4,10,3,92,家庭亲情,家庭亲情:2|礼教品格:1,亲属关系,亲属关系:2|权力关系:1,家庭戏:2|神怪戏:1,0.6667,0.0,21.1667,02001056; 03034001; 04016002,幻化；孟母断机；拾玉镯
全量,T050708,公案冤狱|战争武略|恩怨报偿,公案冤狱 + 战争武略 + 恩怨报偿,3,5|7|8,5,8,3,93,恩怨报偿,恩怨报偿:2|公案冤狱:1,审判与恩怨关系,审判与恩怨关系:3,历史戏:2|家庭戏:1,0.5556,0.1667,28.8633,01001018; 03009002; 03086003,双狮图；耒阳县；擒乌龙
全量,T01020407,忠义家国|政治权力|家庭亲情|战争武略,忠义家国 + 政治权力 + 家庭亲情 + 战争武略,4,1|2|4|7,1,7,3,94,家庭亲情,家庭亲情:1|忠义家国:1|政治权力:1,权力关系,权力关系:2|亲属关系:1,历史戏:2|家庭戏:1,0.8889,0.2222,35.3967,01017012; 01022002; 05022001,连环计；哭祖庙；龙凤帕
全量,T02030405,政治权力|婚恋姻缘|家庭亲情|公案冤狱,政治权力 + 婚恋姻缘 + 家庭亲情 + 公案冤狱,4,2|3|4|5,2,5,3,95,婚恋姻缘,婚恋姻缘:2|公案冤狱:1,婚恋关系,婚恋关系:2|审判与恩怨关系:1,公案戏:2|家庭戏:1,0.7381,0.5244,37.74,01010004; 03016005; 70203108,法场换子；赛太岁；勘玉钏
全量,T02070812,政治权力|战争武略|恩怨报偿|文人世情,政治权力 + 战争武略 + 恩怨报偿 + 文人世情,4,2|7|8|12,2,12,3,96,政治权力,政治权力:2|恩怨报偿:1,权力关系,权力关系:2|审判与恩怨关系:1,历史戏:2|神怪戏:1,1.0,0.0,38.96,03018002; 03051007; 03091001,海潮珠；马陵道；功臣泪
全量,T03041112,婚恋姻缘|家庭亲情|宗教祥瑞|文人世情,婚恋姻缘 + 家庭亲情 + 宗教祥瑞 + 文人世情,4,3|4|11|12,3,12,3,97,婚恋姻缘,婚恋姻缘:2|家庭亲情:1,婚恋关系,婚恋关系:2|亲属关系:1,家庭戏:3,0.7305,0.3472,40.3367,02010032; 70203105; 70203203,狮吼记；钗头凤；绣襦记
全量,T03040710,婚恋姻缘|家庭亲情|战争武略|礼教品格,婚恋姻缘 + 家庭亲情 + 战争武略 + 礼教品格,4,3|4|7|10,3,10,3,98,婚恋姻缘,婚恋姻缘:2|家庭亲情:1,婚恋关系,婚恋关系:2|亲属关系:1,家庭戏:2|神怪戏:1,0.4667,0.3333,40.17,02001022; 03034002; 03066002,孝感天；孝感天；庚娘
全量,T04050608,家庭亲情|公案冤狱|除暴侠义|恩怨报偿,家庭亲情 + 公案冤狱 + 除暴侠义 + 恩怨报偿,4,4|5|6|8,4,8,3,99,恩怨报偿,恩怨报偿:2|公案冤狱:1,审判与恩怨关系,审判与恩怨关系:3,江湖戏:2|公案戏:1,0.713,0.2328,39.4333,01013007; 01025001; 70902171,恶虎村；宏碧缘；白罗衫·看状
全量,T04060712,家庭亲情|除暴侠义|战争武略|文人世情,家庭亲情 + 除暴侠义 + 战争武略 + 文人世情,4,4|6|7|12,4,12,3,100,家庭亲情,家庭亲情:1|除暴侠义:1|战争武略:1,亲属关系,亲属关系:2|冲突关系:1,公案戏:1|江湖戏:1|家庭戏:1,0.6222,0.0667,43.5967,01014003; 03059004; 03105002,浔阳楼；风流双枪将；绿珠坠楼
全量,T0108,忠义家国|恩怨报偿,忠义家国 + 恩怨报偿,2,1|8,1,8,2,101,忠义家国,忠义家国:2,审判与恩怨关系,审判与恩怨关系:1|冲突关系:1,历史戏:2,0.8,0.15,26.19,14001003; 70005104,八大锤；博浪锥
全量,T010203,忠义家国|政治权力|婚恋姻缘,忠义家国 + 政治权力 + 婚恋姻缘,3,1|2|3,1,3,2,102,忠义家国,忠义家国:2,权力关系,权力关系:1|同盟关系:1,家庭戏:1|神怪戏:1,0.85,0.25,27.28,02012038; 10002001,弓砚缘；南天门
全量,T010205,忠义家国|政治权力|公案冤狱,忠义家国 + 政治权力 + 公案冤狱,3,1|2|5,1,5,2,103,忠义家国,忠义家国:1|公案冤狱:1,审判与恩怨关系,审判与恩怨关系:1|权力关系:1,江湖戏:1|历史戏:1,0.8667,0.1667,26.34,01018011; 80000024,五人义；贺后骂殿
全量,T010408,忠义家国|家庭亲情|恩怨报偿,忠义家国 + 家庭亲情 + 恩怨报偿,3,1|4|8,1,8,2,104,恩怨报偿,恩怨报偿:2,审判与恩怨关系,审判与恩怨关系:2,历史戏:2,0.8762,0.2,47.75,01038009; 05012002,湘江会；吴越春秋
全量,T010607,忠义家国|除暴侠义|战争武略,忠义家国 + 除暴侠义 + 战争武略,3,1|6|7,1,7,2,105,战争武略,战争武略:2,冲突关系,冲突关系:2,历史戏:2,1.0,0.0,26.73,03080005; 04001002,月下斩貂蝉；樊江关
