数据范围,主题组合ID,主题组合,主题组合显示,主题数量,主题序号集合,x起点序号,x终点序号,剧本数量,矩阵行排序,主要核心主题,核心主题分布,主要核心关系,核心关系分布,剧目类别分布,平均网络密度,平均度中心化,平均内容量权重,剧本ID列表,代表剧目列表
全量,T0411,家庭亲情|宗教祥瑞,家庭亲情 + 宗教祥瑞,2,4|11,4,11,30,11,宗教祥瑞,宗教祥瑞:22|家庭亲情:8,亲属关系,亲属关系:25|冲突关系:3|权力关系:2,神怪戏:19|家庭戏:8|公案戏:2|历史戏:1,0.7208,0.1044,24.9467,01003013; 01009012; 01009018; 01011013; 01016009; 01024005; 01035003; 01035008; 01037002; 01040001; 02001003; 02001005; 02001009; 02001013; 02006034; 02007028; 02007029; 02007030; 02007033; 02008060; 03013003; 03060005; 04011003; 13004005; 14002009; 70201107; 70902134; 70904207; 90000002; 90000021,滑油山；青石山；失印救火；赵颜借寿；大锯缸；思凡；宝玉出家；麻姑献寿；嫦娥奔月；阎瑞生；福禄寿荣；风调雨顺；八仙庆寿；文王卜卦；邪魔侵正
全量,T0410,家庭亲情|礼教品格,家庭亲情 + 礼教品格,2,4|10,4,10,29,12,家庭亲情,家庭亲情:22|礼教品格:7,亲属关系,亲属关系:29,家庭戏:23|江湖戏:3|历史戏:2|神怪戏:1,0.8883,0.0489,27.071,01001003; 01002010; 01003014; 01006016; 01011009; 01013018; 01018004; 01023001; 01025005; 01028010; 01030009; 01035004; 01038005; 02001023; 02007027; 03002005; 03014001; 03020001; 03057004; 03060003; 03074004; 04010004; 05004001; 05004002; 05004004; 08005006; 14001006; 70005118; 70901101,三娘教子；钓金龟；富春楼；探亲相骂；拿高登；老黄请医；望儿楼；宏碧缘；老西嫖院；背凳；贾政训子；新三娘教子；三世修；孝感天；廉锦枫
全量,T0405,家庭亲情|公案冤狱,家庭亲情 + 公案冤狱,2,4|5,4,5,28,13,公案冤狱,公案冤狱:24|家庭亲情:4,审判与恩怨关系,审判与恩怨关系:23|亲属关系:5,公案戏:19|神怪戏:3|历史戏:2|家庭戏:2|江湖戏:2,0.6943,0.1824,38.6607,01002001; 01002006; 01003009; 01007003; 01013017; 01016017; 01026004; 01026005; 01030008; 01035001; 02006049; 03034005; 03055001; 03055007; 03103002; 04004001; 04026002; 05011002; 09002002; 14001001; 14016006; 70001101; 70002201; 70201202; 70203104; 70402101; 70402102; 70901130,李陵碑；探阴山；打龙袍；铡美案；药茶计；郿邬县；黑驴告状；胭脂判；串珠记；狸猫换太子；五凤楼；钓金龟；打潘豹；红岐山；四进士
全量,T0204,政治权力|家庭亲情,政治权力 + 家庭亲情,2,2|4,2,4,25,14,政治权力,政治权力:25,权力关系,权力关系:25,历史戏:18|家庭戏:3|公案戏:2|江湖戏:1|神怪戏:1,0.7962,0.2633,31.2712,01004004; 01010002; 01014021; 01017010; 01018001; 01019001; 01025003; 01026002; 02006047; 02008021; 03007002; 03013008; 03103001; 04011001; 04017003; 05004012; 05021001; 09001002; 14002004; 14002005; 14016005; 70001311; 70005102; 80000010; 90000005,盗宗卷；宫门带；恶虎庄；张良辞朝；朝歌恨；进妲己；洗耳记；受禅台；五凤楼；打龙篷；纪母骂刘邦；打窦瑶；十老安刘；宇宙锋；二进宫
全量,T0205,政治权力|公案冤狱,政治权力 + 公案冤狱,2,2|5,2,5,23,15,公案冤狱,公案冤狱:17|政治权力:6,审判与恩怨关系,审判与恩怨关系:18|权力关系:5,公案戏:17|历史戏:5|神怪戏:1,0.8363,0.1955,32.8483,01001017; 01003008; 01005015; 01006017; 01012005; 01013002; 01033001; 01033004; 02003003; 03053001; 03053002; 03053003; 03053004; 03055006; 03109004; 04017002; 04034002; 14002006; 14002007; 70002205; 80000003; 80000006; 80000016,清官册；断太后；审李七；双包案；打銮驾；审刺客；狸猫换太子；贺后骂殿；捉放曹；打銮驾；铡包勉；遇皇后；打龙袍；夜审潘洪；贺后骂殿
全量,T0312,婚恋姻缘|文人世情,婚恋姻缘 + 文人世情,2,3|12,3,12,23,16,婚恋姻缘,婚恋姻缘:17|文人世情:6,婚恋关系,婚恋关系:23,家庭戏:16|江湖戏:4|公案戏:3,0.8783,0.1532,30.4039,01001020; 01003001; 01004014; 01011010; 01012006; 01020009; 01023008; 01029001; 01031002; 03002003; 03022001; 04025003; 10002046; 70005106; 70203101; 70203109; 70801119; 70902115; 70902144; 70902156; 80000023; 90000003; 90000006,宋江闹院；琼林宴；遗翠花；明月珠；少华山；采花赶府；乔醋；花田错；牢狱鸳鸯；荷珠配；风尘三侠；打面缸；坐楼杀惜；马前泼水；花田错
全量,T020304,政治权力|婚恋姻缘|家庭亲情,政治权力 + 婚恋姻缘 + 家庭亲情,3,2|3|4,2,4,20,17,家庭亲情,家庭亲情:11|婚恋姻缘:7|政治权力:2,亲属关系,亲属关系:9|婚恋关系:7|权力关系:3|同盟关系:1,家庭戏:15|公案戏:2|江湖戏:1|神怪戏:1|历史戏:1,0.8335,0.0975,30.1595,01005012; 01006012; 01008005; 01016015; 01018008; 01021006; 01023004; 01035005; 01036006; 02006045; 02006062; 03021002; 03039005; 03092004; 05018001; 14001007; 70001103; 70202102; 70802106; 70805102,海潮珠；梵王宫；算粮登殿；背娃入府；盘山；天宝图；三击掌；慈孝图；平贵别窑；五凤楼；渡银河；彩楼配；雪杯圆；秦罗敷；五彩舆
全量,T010207,忠义家国|政治权力|战争武略,忠义家国 + 政治权力 + 战争武略,3,1|2|7,1,7,18,18,战争武略,战争武略:8|政治权力:6|忠义家国:4,权力关系,权力关系:10|冲突关系:7|同盟关系:1,历史戏:16|家庭戏:1|江湖戏:1,0.8153,0.1126,32.4794,01002011; 01018005; 01024004; 02010018; 02011012; 03003004; 03016002; 03026001; 03027005; 03042003; 03046002; 03047001; 03090007; 03100004; 05010001; 05014002; 70004102; 70005109,梅龙镇；排王赞；游武庙；雄州关；采石矶；锁五龙；双带箭；坛山谷；骂王朗；明末遗恨；御果园；好鹤失政；战北原；薛仁贵救驾；焚烟墩
全量,T0102,忠义家国|政治权力,忠义家国 + 政治权力,2,1|2,1,2,17,19,政治权力,政治权力:11|忠义家国:6,权力关系,权力关系:17,历史戏:15|公案戏:2,0.7875,0.121,31.0924,01004008; 01005007; 01011002; 01016005; 02002034; 02008017; 03003001; 03028006; 03079003; 03108007; 05011001; 05021002; 09006001; 14001002; 14001009; 70001102; 70005115,大保国；二进宫；请宋灵；未央宫；汉忠烈；梅花妆；双尽忠；请宋灵；输财救国；疯僧扫秦；游武庙；喜封侯；打严嵩；二进宫；大保国
全量,T0511,公案冤狱|宗教祥瑞,公案冤狱 + 宗教祥瑞,2,5|11,5,11,17,20,宗教祥瑞,宗教祥瑞:9|公案冤狱:8,审判与恩怨关系,审判与恩怨关系:9|婚恋关系:7|冲突关系:1,神怪戏:7|公案戏:4|家庭戏:4|历史戏:2,0.402,0.0745,32.6535,01001004; 02005006; 02005007; 02005008; 02005010; 02005011; 02005012; 02005013; 02005014; 02005015; 02007032; 03053005; 03053006; 03053007; 03091006; 70006109; 80000007,乌盆计；九莲灯；九莲灯；九莲灯；九莲灯；九莲灯；九莲灯；九莲灯；九莲灯；九莲灯；目莲记；闹东京；双包案；神虎报；乌盆记
