relation_id,play_id,source_character_id,target_character_id,source,target,source_trade,target_trade,source_raw_trade,target_raw_trade,source_standard_trade,target_standard_trade,source_level,target_level,source_level_label,target_level_label,relation_type,relation_label,relation_desc,weight,relation_rank,scene_ids,first_scene_no,last_scene_no,evidence
rel_b2d1498a70,01004001,char_d31af1963e,char_0eed08a290,二皇子,穆顺,小生,老生,娃娃生,生,小生,老生,minor,core,次要人物,核心人物,conflict,冲突对峙,二皇子与穆顺在1场中形成冲突对峙,2.5,15,"[""01004001_scene_10""]",10,10,汉献帝父子们在宫院伤心落泪，汉献帝叫孤王思想起好不伤悲
rel_9e153a44d8,01012004,char_746f0417fa,char_5df3a7f526,秦尤,胜英,武生,老生,,生,武生,老生,major,core,主要人物,核心人物,conflict,冲突对峙,秦尤与胜英在6场中形成冲突对峙,6.4,1,"[""01012004_scene_01"", ""01012004_scene_02"", ""01012004_scene_03"", ""01012004_scene_04"", ""01012004_scene_05"", ""01012004_scene_06""]",1,6,秦尤仇深似海，咎士雄、崔通何日里，才称心怀
rel_55ab30f680,01012004,char_e67d49fc6b,char_746f0417fa,咎士雄,秦尤,武生,武生,,,武生,武生,major,major,主要人物,主要人物,alliance,同场协作,咎士雄与秦尤在4场中形成同场协作,4.72,5,"[""01012004_scene_01"", ""01012004_scene_03"", ""01012004_scene_05"", ""01012004_scene_06""]",1,6,秦尤仇深似海，咎士雄、崔通何日里，才称心怀
rel_712564c45a,01012004,char_e67d49fc6b,char_228580aa21,咎士雄,崔通,武生,武生,,,武生,武生,major,minor,主要人物,次要人物,alliance,同场协作,咎士雄与崔通在4场中形成同场协作,4.72,6,"[""01012004_scene_01"", ""01012004_scene_03"", ""01012004_scene_05"", ""01012004_scene_06""]",1,6,秦尤仇深似海，咎士雄、崔通何日里，才称心怀
rel_e309ba5661,01012004,char_e67d49fc6b,char_5df3a7f526,咎士雄,胜英,武生,老生,,生,武生,老生,major,core,主要人物,核心人物,conflict,冲突对峙,咎士雄与胜英在4场中形成冲突对峙,4.72,7,"[""01012004_scene_01"", ""01012004_scene_03"", ""01012004_scene_05"", ""01012004_scene_06""]",1,6,秦尤仇深似海，咎士雄、崔通何日里，才称心怀
rel_ae4d60d1e5,01012004,char_e5f6b8a40a,char_5df3a7f526,杨香武,胜英,武生,老生,,生,武生,老生,major,core,主要人物,核心人物,command,差遣统属,杨香武与胜英在5场中形成差遣统属,5.38,2,"[""01012004_scene_02"", ""01012004_scene_05"", ""01012004_scene_06"", ""01012004_scene_12"", ""01012004_scene_13""]",2,13,（胜英引李刚、黄三泰、李玉圭、李志龙、郝照雄、杨俊、普大勇、陶让、蔡庆、张大川、武万
rel_5b8966d6a8,01012004,char_5df3a7f526,char_630e467223,胜英,黄三泰,老生,武生,生,,老生,武生,core,major,核心人物,主要人物,command,差遣统属,胜英与黄三泰在5场中形成差遣统属,5.18,3,"[""01012004_scene_02"", ""01012004_scene_03"", ""01012004_scene_04"", ""01012004_scene_05"", ""01012004_scene_15""]",2,15,（胜英引李刚、黄三泰、李玉圭、李志龙、郝照雄、杨俊、普大勇、陶让、蔡庆、张大川、武万
rel_cea766497f,01012004,char_ce90917009,char_e5f6b8a40a,李刚,杨香武,武生,武生,,,武生,武生,minor,major,次要人物,主要人物,alliance,同场协作,李刚与杨香武在4场中形成同场协作,4.84,4,"[""01012004_scene_02"", ""01012004_scene_05"", ""01012004_scene_06"", ""01012004_scene_12""]",2,12,（胜英引李刚、黄三泰、李玉圭、李志龙、郝照雄、杨俊、普大勇、陶让、蔡庆、张大川、武万
rel_3c94d2d979,01012004,char_22b51c72dc,char_630e467223,武万年,黄三泰,武生,武生,,,武生,武生,major,major,主要人物,主要人物,alliance,同场协作,武万年与黄三泰在4场中形成同场协作,4.58,8,"[""01012004_scene_02"", ""01012004_scene_03"", ""01012004_scene_04"", ""01012004_scene_05""]",2,5,（胜英引李刚、黄三泰、李玉圭、李志龙、郝照雄、杨俊、普大勇、陶让、蔡庆、张大川、武万
rel_c9f63de5ba,01012004,char_c6f88e3626,char_22b51c72dc,李志龙,武万年,武生,武生,,,武生,武生,minor,major,次要人物,主要人物,alliance,同场协作,李志龙与武万年在4场中形成同场协作,4.58,9,"[""01012004_scene_02"", ""01012004_scene_03"", ""01012004_scene_04"", ""01012004_scene_05""]",2,5,（胜英引李刚、黄三泰、李玉圭、李志龙、郝照雄、杨俊、普大勇、陶让、蔡庆、张大川、武万
