id,relationType,themeCombo,narrativeType,evolutionType,count,scripts,narrativeCurve,evolutionCurve,representativePlayId
flow_15181663be,冲突对峙,权谋斗争 + 忠义家国,权力博弈型,后段爆发,2,"[""01004001"", ""02008006""]","[0.2751, 0.4793, 0.7028, 0.3531, 0.4389, 0.4375, 0.4439, 0.7183, 0.436, 0.1935, 0.2394, 0.3241, 0.316, 0.6073, 0.5324, 0.5928, 0.5532, 0.3413, 0.4629, 0.8058, 0.6323, 0.8904]","[0.3196, 0.2191, 0.7434, 0.5702, 0.4698, 0.2403, 0.85, 0.9286, 0.6937, 0.1232, 0.1545, 0.1948, 0.3166, 0.6148, 0.4273, 0.5117, 0.542, 0.4156, 0.3806, 0.8337, 0.6137, 0.8864]",01004001
flow_f23bc477f7,同场协作,复仇侠义 + 公案审判,侠义伸张型,前段激化,1,"[""01012004""]","[0.564, 0.9793, 0.6745, 0.4461, 0.9218, 1.0, 0.2864, 0.2509, 0.2302, 0.2368, 0.1599, 0.4503, 0.2219, 0.1545, 0.3278]","[0.6716, 1.0, 0.7273, 0.6102, 0.8636, 0.9091, 0.4057, 0.1886, 0.558, 0.1307, 0.0318, 0.3853, 0.1966, 0.0636, 0.6614]",01012004
flow_12c50ead07,冲突对峙,婚恋情缘 + 女性命运,情缘流转型,后段爆发,1,"[""01040005""]","[0.3449, 0.2658, 0.2906, 0.3837, 0.286, 0.3977, 0.3837, 0.1681, 0.2069, 0.3449, 0.227, 0.3575, 0.5404, 1.0]","[0.575, 0.2417, 0.6809, 0.0667, 0.325, 0.7679, 0.1, 0.0667, 0.0333, 0.425, 0.1167, 0.7929, 0.6667, 1.0]",01040005
flow_532ff111da,冲突对峙,复仇侠义 + 女性命运,侠义伸张型,后段爆发,1,"[""04008002""]","[0.2254, 0.1911, 0.2982, 0.3921, 0.3202, 0.2337, 0.2858, 0.3887, 0.307, 0.2728, 0.7428, 0.2852, 0.5678, 0.2385, 0.1479, 0.6116, 0.1438, 0.4182, 0.4182, 1.0, 0.543, 0.41]","[0.249, 0.3231, 0.6539, 0.1106, 0.2221, 0.2721, 0.5317, 0.0808, 0.2962, 0.35, 0.9616, 0.3039, 0.7269, 0.1144, 0.0654, 0.5769, 0.0269, 0.5414, 0.2789, 1.0, 0.5769, 0.5347]",04008002
