scene_id,play_id,character_id,character_name
01012004_scene_07,01012004,char_6c4056dd77,胡闹
01012004_scene_07,01012004,char_528fa58a93,荀攸
01012004_scene_07,01012004,char_e5f6b8a40a,杨香武
01012004_scene_08,01012004,char_f854a868ec,韩秀
01012004_scene_08,01012004,char_5765b8dea6,李豹
01012004_scene_08,01012004,char_019e07d9cb,高大鹏
01012004_scene_08,01012004,char_ce90917009,李刚
01012004_scene_09,01012004,char_18bd033d0f,小桃
01012004_scene_09,01012004,char_8ed02c4fe8,韩韬英
01012004_scene_09,01012004,char_f854a868ec,韩秀
01012004_scene_10,01012004,char_e5f6b8a40a,杨香武
01012004_scene_11,01012004,char_e5f6b8a40a,杨香武
01012004_scene_12,01012004,char_f854a868ec,韩秀
01012004_scene_12,01012004,char_e5f6b8a40a,杨香武
01012004_scene_12,01012004,char_5df3a7f526,胜英
01012004_scene_12,01012004,char_ce90917009,李刚
01012004_scene_12,01012004,char_019e07d9cb,高大鹏
01012004_scene_12,01012004,char_5765b8dea6,李豹
01012004_scene_13,01012004,char_5df3a7f526,胜英
01012004_scene_13,01012004,char_e5f6b8a40a,杨香武
01012004_scene_13,01012004,char_f854a868ec,韩秀
01012004_scene_14,01012004,char_f854a868ec,韩秀
01012004_scene_14,01012004,char_5df3a7f526,胜英
01012004_scene_15,01012004,char_f854a868ec,韩秀
01012004_scene_15,01012004,char_5df3a7f526,胜英
01012004_scene_15,01012004,char_019e07d9cb,高大鹏
01012004_scene_15,01012004,char_630e467223,黄三泰
01040005_scene_01,01040005,char_471ed1dfa7,张夫人
01040005_scene_01,01040005,char_561db21d7e,张济
01040005_scene_01,01040005,char_a9d869411c,张小莲
01040005_scene_01,01040005,char_4753bacca3,张二莲
01040005_scene_02,01040005,char_9ece7821a2,甘习文
01040005_scene_02,01040005,char_f3f578e2ad,甘氏
01040005_scene_03,01040005,char_9ece7821a2,甘习文
01040005_scene_03,01040005,char_d1ce281751,蔡炳
01040005_scene_03,01040005,char_804853c6b5,店家
01040005_scene_04,01040005,char_561db21d7e,张济
01040005_scene_04,01040005,char_a9d869411c,张小莲
01040005_scene_04,01040005,char_4753bacca3,张二莲
01040005_scene_04,01040005,char_471ed1dfa7,张夫人
01040005_scene_05,01040005,char_9ece7821a2,甘习文
01040005_scene_05,01040005,char_804853c6b5,店家
01040005_scene_05,01040005,char_d1ce281751,蔡炳
01040005_scene_06,01040005,char_9ece7821a2,甘习文
01040005_scene_06,01040005,char_d1ce281751,蔡炳
01040005_scene_06,01040005,char_a9d869411c,张小莲
01040005_scene_06,01040005,char_804853c6b5,店家
01040005_scene_07,01040005,char_d1ce281751,蔡炳
01040005_scene_07,01040005,char_561db21d7e,张济
01040005_scene_07,01040005,char_a9d869411c,张小莲
01040005_scene_07,01040005,char_4753bacca3,张二莲
01040005_scene_08,01040005,char_9ece7821a2,甘习文
01040005_scene_09,01040005,char_d1ce281751,蔡炳
01040005_scene_10,01040005,char_942777213b,观音
01040005_scene_10,01040005,char_9ece7821a2,甘习文
01040005_scene_10,01040005,char_a9d869411c,张小莲
01040005_scene_10,01040005,char_804853c6b5,店家
01040005_scene_11,01040005,char_561db21d7e,张济
01040005_scene_11,01040005,char_471ed1dfa7,张夫人
01040005_scene_12,01040005,char_942777213b,观音
01040005_scene_12,01040005,char_9ece7821a2,甘习文
01040005_scene_13,01040005,char_561db21d7e,张济
01040005_scene_13,01040005,char_942777213b,观音
01040005_scene_13,01040005,char_8b70b310ec,海棠花
01040005_scene_13,01040005,char_9ece7821a2,甘习文
01040005_scene_13,01040005,char_471ed1dfa7,张夫人
01040005_scene_13,01040005,char_4753bacca3,张二莲
01040005_scene_14,01040005,char_a9d869411c,张小莲
01040005_scene_14,01040005,char_9ece7821a2,甘习文
01040005_scene_14,01040005,char_8b70b310ec,海棠花
01040005_scene_14,01040005,char_561db21d7e,张济
01040005_scene_14,01040005,char_471ed1dfa7,张夫人
01040005_scene_14,01040005,char_4753bacca3,张二莲
02008006_scene_01,02008006,char_416840313a,苏逢吉
02008006_scene_01,02008006,char_382070ef90,孟业
02008006_scene_01,02008006,char_42107f58d6,刘承佑
02008006_scene_01,02008006,char_2bb46abcd4,王章
02008006_scene_01,02008006,char_2d81db9dad,杨邠
02008006_scene_01,02008006,char_d704060299,郭彦威
02008006_scene_02,02008006,char_909ee59582,王朴
02008006_scene_02,02008006,char_53048a0372,史彦超
02008006_scene_02,02008006,char_416840313a,苏逢吉
02008006_scene_02,02008006,char_d704060299,郭彦威
02008006_scene_03,02008006,char_d704060299,郭彦威
02008006_scene_03,02008006,char_ab23c290e6,韩通
02008006_scene_03,02008006,char_d73c72a05a,柴荣
02008006_scene_03,02008006,char_382070ef90,孟业
02008006_scene_03,02008006,char_53048a0372,史彦超
02008006_scene_03,02008006,char_909ee59582,王朴
02008006_scene_03,02008006,char_416840313a,苏逢吉
02008006_scene_04,02008006,char_e8f1182c6b,苏妃
02008006_scene_04,02008006,char_42107f58d6,刘承佑
02008006_scene_05,02008006,char_e8f1182c6b,苏妃
