play_id,title,source_file,flow_id,summary,scene_count,character_count,relation_count,main_theme_id,main_theme,narrative_mode,evolution_mode,center_role
01004001,逍遥津,D:\jingju\数据\01004001_逍遥津.pdf,flow_15181663be,《逍遥津》以权谋斗争、忠义家国、战争征伐为主要组合，围绕曹操、穆顺、华歆等人物推进剧情。,10,16,17,theme_power,权谋斗争,权力博弈型,后段爆发,曹操
01012004,莲花湖,D:\jingju\数据\01012004_莲花湖.pdf,flow_f23bc477f7,《莲花湖》以复仇侠义、公案审判、忠义家国为主要组合，围绕胜英、韩秀、杨香武等人物推进剧情。,15,18,18,theme_chivalry,复仇侠义,侠义伸张型,前段激化,胜英
01040005,万花船,D:\jingju\数据\01040005_万花船.pdf,flow_12c50ead07,《万花船》以婚恋情缘、女性命运、家庭伦理为主要组合，围绕甘习文、张济、张小莲等人物推进剧情。,14,10,10,theme_love,婚恋情缘,情缘流转型,后段爆发,甘习文
02008006,北汉王,D:\jingju\数据\02008006_北汉王.pdf,flow_15181663be,《北汉王》以权谋斗争、忠义家国、战争征伐为主要组合，围绕刘承佑、刘瑞莲、苏妃等人物推进剧情。,22,18,18,theme_power,权谋斗争,权力博弈型,后段爆发,刘承佑
04008002,十三妹,D:\jingju\数据\04008002_十三妹.pdf,flow_532ff111da,《十三妹》以复仇侠义、女性命运、婚恋情缘为主要组合，围绕安骥、何玉凤、白脸狼等人物推进剧情。,22,11,11,theme_chivalry,复仇侠义,侠义伸张型,后段爆发,安骥
