scene_id,play_id,relation_id
01040005_scene_11,01040005,rel_15cf70140f
01040005_scene_12,01040005,rel_84159ae77e
01040005_scene_13,01040005,rel_15cf70140f
01040005_scene_13,01040005,rel_84159ae77e
01040005_scene_13,01040005,rel_213a5fe5a5
01040005_scene_13,01040005,rel_06279896f0
01040005_scene_13,01040005,rel_6c354fcbb4
01040005_scene_14,01040005,rel_15cf70140f
01040005_scene_14,01040005,rel_46fbb0b6fe
01040005_scene_14,01040005,rel_60bd41bd13
01040005_scene_14,01040005,rel_213a5fe5a5
01040005_scene_14,01040005,rel_06279896f0
01040005_scene_14,01040005,rel_6c354fcbb4
02008006_scene_01,02008006,rel_80ceab37ec
02008006_scene_01,02008006,rel_66c5e8e6cd
02008006_scene_01,02008006,rel_74c8e8d90d
02008006_scene_01,02008006,rel_9baccbe61f
02008006_scene_01,02008006,rel_13495ee2f9
02008006_scene_02,02008006,rel_80ceab37ec
02008006_scene_02,02008006,rel_2bfa16b4b3
02008006_scene_02,02008006,rel_872e77b533
02008006_scene_03,02008006,rel_80ceab37ec
02008006_scene_03,02008006,rel_2bfa16b4b3
02008006_scene_03,02008006,rel_872e77b533
02008006_scene_03,02008006,rel_969fb2e0e9
02008006_scene_03,02008006,rel_7e617026f6
02008006_scene_04,02008006,rel_9eca7eaa8f
02008006_scene_05,02008006,rel_d3d5e30f7c
02008006_scene_08,02008006,rel_9eca7eaa8f
02008006_scene_08,02008006,rel_7757b78a5d
02008006_scene_09,02008006,rel_80ceab37ec
02008006_scene_09,02008006,rel_66c5e8e6cd
02008006_scene_09,02008006,rel_74c8e8d90d
02008006_scene_09,02008006,rel_9baccbe61f
02008006_scene_09,02008006,rel_f4a94ce850
02008006_scene_11,02008006,rel_2bfa16b4b3
02008006_scene_12,02008006,rel_80ceab37ec
02008006_scene_12,02008006,rel_74c8e8d90d
02008006_scene_13,02008006,rel_80ceab37ec
02008006_scene_13,02008006,rel_66c5e8e6cd
02008006_scene_13,02008006,rel_9eca7eaa8f
02008006_scene_13,02008006,rel_7757b78a5d
02008006_scene_13,02008006,rel_27cac545a2
02008006_scene_13,02008006,rel_6c25f31108
02008006_scene_13,02008006,rel_c00f0edc1a
02008006_scene_14,02008006,rel_6c25f31108
02008006_scene_14,02008006,rel_4e327e0fd9
02008006_scene_14,02008006,rel_302997c4d0
02008006_scene_15,02008006,rel_27cac545a2
02008006_scene_16,02008006,rel_80ceab37ec
02008006_scene_16,02008006,rel_66c5e8e6cd
02008006_scene_16,02008006,rel_74c8e8d90d
02008006_scene_16,02008006,rel_27cac545a2
02008006_scene_17,02008006,rel_66c5e8e6cd
02008006_scene_17,02008006,rel_27cac545a2
02008006_scene_18,02008006,rel_66c5e8e6cd
02008006_scene_18,02008006,rel_27cac545a2
02008006_scene_18,02008006,rel_4e327e0fd9
