剧本ID,剧本名称,剧目类别,角色总数,实际关系数,网络密度,度中心化
01009009,卖绒花,家庭戏,0,0,0,0
01009010,伐子都,历史戏,3,3,1.0,0.0
01009011,雁门关,历史戏,2,1,1.0,0
01009012,青石山,神怪戏,8,11,0.392857,0.428571
01009013,长亭会,历史戏,2,1,1.0,0
01009014,濮阳城,历史戏,5,8,0.8,0.333333
01009015,战樊城,历史戏,6,12,0.8,0.3
01009016,进蛮诗,历史戏,5,10,1.0,0.0
01009018,失印救火,公案戏,4,6,1.0,0.0
01010001,马鞍山,家庭戏,2,1,1.0,0
01010002,宫门带,历史戏,6,9,0.6,0.6
01010003,渭水河,历史戏,0,0,0,0
01010004,法场换子,家庭戏,3,2,0.666667,1.0
01010005,忠孝牌,家庭戏,4,6,1.0,0.0
01010006,忠孝图,家庭戏,3,3,1.0,0.0
01010007,打面缸,公案戏,5,10,1.0,0.0
01010010,锁云囊,江湖戏,4,5,0.833333,0.333333
01010011,人才驸马,历史戏,6,15,1.0,0.0
01010012,查头关,历史戏,3,3,1.0,0.0
01010013,双断桥,神怪戏,3,3,1.0,0.0
01010014,卖饽饽,家庭戏,3,3,1.0,0.0
01010015,荐诸葛,历史戏,6,15,1.0,0.0
01010016,风云会,历史戏,2,1,1.0,0
01010017,烟鬼叹,家庭戏,3,3,1.0,0.0
01011001,渑池会,历史戏,5,10,1.0,0.0
01011002,请宋灵,历史戏,8,18,0.642857,0.285714
01011003,回龙阁,家庭戏,8,26,0.928571,0.095238
01011004,烧绵山,历史戏,8,22,0.785714,0.285714
01011005,监酒令,历史戏,2,1,1.0,0
01011007,芦花河,历史戏,3,3,1.0,0.0
01011008,马上缘,家庭戏,4,4,0.666667,0.666667
01011009,拿高登,江湖戏,8,17,0.607143,0.333333
01011010,明月珠,家庭戏,3,3,1.0,0.0
01011011,白马坡,历史戏,4,5,0.833333,0.333333
01011012,摩天岭,历史戏,9,33,0.916667,0.107143
01011013,赵颜借寿,神怪戏,3,3,1.0,0.0
01011014,洛阳桥,神怪戏,3,3,1.0,0.0
01011016,送银灯,家庭戏,3,3,1.0,0.0
01012001,泥马渡康王,神怪戏,9,15,0.416667,0.428571
01012002,闹江州,江湖戏,6,11,0.733333,0.4
01012003,高平关,历史戏,4,6,1.0,0.0
01012004,莲花湖,江湖戏,5,4,0.4,0.166667
01012005,打銮驾,公案戏,2,1,1.0,0
01012006,少华山,家庭戏,5,9,0.9,0.166667
01012007,贵妃醉酒,家庭戏,2,1,1.0,0
01012008,春秋配,家庭戏,4,5,0.833333,0.333333
01012011,赶三关,历史戏,5,10,1.0,0.0
01012012,南阳关,历史戏,8,15,0.535714,0.619048
01012014,血手印,公案戏,6,12,0.8,0.3
01012015,一捧雪,公案戏,5,8,0.8,0.333333
01012016,双观星,神怪戏,2,1,1.0,0
01013001,司马逼宫,历史戏,6,13,0.866667,0.2
01013002,审刺客,公案戏,8,28,1.0,0.0
01013003,赠别挑袍,历史戏,4,4,0.666667,0.666667
01013004,借赵云,历史戏,5,8,0.8,0.333333
01013005,御林郡,历史戏,5,10,1.0,0.0
01013006,奇冤报,神怪戏,5,9,0.9,0.166667
01013007,恶虎村,江湖戏,10,37,0.822222,0.222222
01013008,皮匠杀妻,公案戏,4,6,1.0,0.0
01013009,罗四虎,公案戏,9,13,0.361111,0.660714
01013010,八蜡庙,江湖戏,10,35,0.777778,0.277778
01013011,伐东吴,历史戏,8,14,0.5,0.666667
01013012,战太平,历史戏,7,15,0.714286,0.4
01013013,刺巴杰,江湖戏,7,16,0.761905,0.333333
01013014,金钱豹,神怪戏,7,15,0.714286,0.4
01013015,玉门关,历史戏,4,6,1.0,0.0
01013016,贾家楼,江湖戏,10,30,0.666667,0.277778
01013017,药茶计,公案戏,3,3,1.0,0.0
01013018,老黄请医,家庭戏,4,6,1.0,0.0
01013019,黛玉葬花,家庭戏,2,1,1.0,0
01013020,花蝴蝶,江湖戏,3,3,1.0,0.0
01014001,鲁肃求计,历史戏,3,3,1.0,0.0
01014002,铁笼山,历史戏,3,2,0.666667,1.0
01014003,浔阳楼,公案戏,3,3,1.0,0.0
01014004,秦淮河,江湖戏,6,13,0.866667,0.2
01014005,打樱桃,家庭戏,7,18,0.857143,0.2
01014006,丁甲山,江湖戏,7,16,0.761905,0.333333
01014007,淮安府,公案戏,4,4,0.666667,0.666667
01014008,雪杯圆,家庭戏,3,3,1.0,0.0
01014009,除三害,家庭戏,2,1,1.0,0
01014010,错杀奸,公案戏,5,9,0.9,0.166667
01014011,锁五龙,历史戏,5,10,1.0,0.0
01014012,摘缨会,历史戏,5,7,0.7,0.5
01014013,度白俭,神怪戏,3,3,1.0,0.0
01014014,罗锅子抢亲,家庭戏,7,15,0.714286,0.4
01014015,挡亮,历史戏,3,3,1.0,0.0
01014016,董家山,江湖戏,3,3,1.0,0.0
01014018,云台观,历史戏,8,28,1.0,0.0
01014019,五花洞,神怪戏,9,23,0.638889,0.303571
01014020,红梅阁,神怪戏,4,5,0.833333,0.333333
01014021,恶虎庄,江湖戏,7,16,0.761905,0.333333
01014022,四杰村,江湖戏,6,15,1.0,0.0
01015001,马嵬坡,历史戏,2,1,1.0,0
01015002,古城相会,历史戏,4,5,0.833333,0.333333
01015003,潞安州,历史戏,8,13,0.464286,0.333333
01015004,扫松下书,家庭戏,2,1,1.0,0
01015006,英杰烈,家庭戏,7,15,0.714286,0.4
01015007,南屏山,历史戏,3,3,1.0,0.0
01015008,疯僧扫秦,神怪戏,3,3,1.0,0.0
01015009,盗魂铃,神怪戏,4,4,0.666667,0.666667
01015010,紫荆树,家庭戏,4,6,1.0,0.0
01015011,庆阳图,历史戏,9,21,0.583333,0.375
01015012,一捧雪,公案戏,6,10,0.666667,0.5
01015014,赵家楼,江湖戏,10,31,0.688889,0.388889
01015015,三气周瑜,历史戏,3,3,1.0,0.0
01015016,八郎探母,历史戏,10,24,0.533333,0.583333
01015017,临潼山,历史戏,8,21,0.75,0.380952
01016001,骂杨广,历史戏,5,10,1.0,0.0
01016002,蒯彻装疯,历史戏,8,21,0.75,0.333333
01016003,单刀赴会,历史戏,4,6,1.0,0.0
01016005,未央宫,历史戏,4,6,1.0,0.0
01016006,取南郡,历史戏,16,63,0.525,0.390476
01016007,春香闹学,家庭戏,3,3,1.0,0.0
01016008,拾玉镯,家庭戏,3,3,1.0,0.0
01016009,大锯缸,神怪戏,5,7,0.7,0.5
01016010,三让徐州,历史戏,0,0,0,0
01016011,骂王朗,历史戏,2,1,1.0,0
01016014,破洪州,历史戏,4,5,0.833333,0.333333
01016015,背娃入府,家庭戏,4,6,1.0,0.0
01016016,三上轿,家庭戏,3,3,1.0,0.0
01016017,郿邬县,公案戏,11,36,0.654545,0.3
01016018,妙善出家,神怪戏,4,6,1.0,0.0
01017001,风波亭,历史戏,20,62,0.326316,0.51462
01017002,三上殿,公案戏,7,16,0.761905,0.333333
01017003,假金牌,公案戏,4,5,0.833333,0.333333
01017004,襄阳宴,历史戏,13,45,0.576923,0.5
01017006,张古董借妻,家庭戏,5,9,0.9,0.166667
01017007,别妻,家庭戏,3,3,1.0,0.0
01017008,斩貂蝉,历史戏,2,1,1.0,0
01017009,金雁桥,历史戏,6,15,1.0,0.0
01017010,张良辞朝,历史戏,2,1,1.0,0
01017011,景阳岗,江湖戏,6,5,0.333333,0.4
01017012,连环计,历史戏,2,1,1.0,0
01017013,下河东,历史戏,6,8,0.533333,0.7
01017014,鄚州庙,公案戏,7,21,1.0,0.0
01018001,朝歌恨,历史戏,9,18,0.5,0.482143
01018002,孝妇羹,家庭戏,6,15,1.0,0.0
01018003,骂阎罗,神怪戏,5,5,0.5,1.333333
01018004,望儿楼,家庭戏,2,1,1.0,0
01018005,排王赞,历史戏,6,9,0.6,0.6
01018006,煤山恨,历史戏,3,3,1.0,0.0
01018007,龙凤呈祥,家庭戏,5,10,1.0,0.0
01018008,盘山,家庭戏,2,1,1.0,0
01018011,五人义,江湖戏,10,33,0.733333,0.333333
01018012,戏叔,家庭戏,3,3,1.0,0.0
01018013,迷人馆,江湖戏,16,50,0.416667,0.514286
01018014,冀州城,历史戏,11,28,0.509091,0.355556
01019001,进妲己,历史戏,18,85,0.555556,0.5
01019002,过五关,历史戏,12,33,0.5,0.6
01019003,三顾茅庐,历史戏,18,62,0.405229,0.470588
01019004,舌战群儒,历史戏,5,6,0.6,0.25
01019005,马前泼水,家庭戏,6,6,0.4,0.6
01019006,讨荆州,历史戏,6,13,0.866667,0.2
01019009,曾头市,江湖戏,7,17,0.809524,0.266667
01019010,佘塘关,家庭戏,2,1,1.0,0
01019011,九龙杯,江湖戏,4,6,1.0,0.0
01019012,镇潭州,历史戏,7,14,0.666667,0.466667
01019013,磐河战,历史戏,5,9,0.9,0.166667
01020001,麦城升天,历史戏,7,17,0.809524,0.266667
01020002,戏迷传,家庭戏,0,0,0,0
01020003,汾河湾,家庭戏,5,8,0.8,0.333333
01020004,别母乱箭,历史戏,10,25,0.555556,0.555556
01020005,义旗令,江湖戏,13,46,0.589744,0.287879
01020006,穆柯寨,家庭戏,5,10,1.0,0.0
01020007,凤凰山,历史戏,10,26,0.577778,0.527778
01020008,燕青打擂,江湖戏,11,43,0.781818,0.266667
01020009,采花赶府,家庭戏,5,7,0.7,0.5
01020010,青楼梦,家庭戏,10,27,0.6,0.361111
01020011,送花楼会,家庭戏,3,3,1.0,0.0
01020012,拷红,家庭戏,4,6,1.0,0.0
01020013,铁公鸡,历史戏,15,31,0.295238,0.565934
01021001,许田射鹿,历史戏,11,36,0.654545,0.422222
01021002,霸王别姬,历史戏,4,4,0.666667,0.666667
01021004,玉玲珑,江湖戏,9,23,0.638889,0.464286
01021005,泗州城,神怪戏,9,12,0.333333,0.375
01021006,天宝图,江湖戏,33,114,0.215909,0.335685
01021007,雪夜访普,历史戏,8,24,0.857143,0.190476
01021008,双合印,公案戏,3,2,0.666667,1.0
01022001,将相和,历史戏,2,1,1.0,0
01022002,哭祖庙,历史戏,4,4,0.666667,0.666667
01022004,明末遗恨,历史戏,6,9,0.6,0.6
01022005,青风寨,江湖戏,6,12,0.8,0.3
01022006,太平桥,历史戏,8,18,0.642857,0.47619
01022008,喂药,神怪戏,3,3,1.0,0.0
01022009,打刀,江湖戏,3,3,1.0,0.0
01022010,飞叉阵,历史戏,8,13,0.464286,0.52381
01022012,天宝图,江湖戏,44,164,0.173362,0.403101
01023001,宏碧缘,江湖戏,14,69,0.758242,0.192308
01023003,举鼎观画,家庭戏,3,3,1.0,0.0
01023004,三击掌,家庭戏,2,1,1.0,0
01023005,洗浮山,公案戏,5,9,0.9,0.166667
01023007,百凉楼,历史戏,6,14,0.933333,0.1
01023008,乔醋,家庭戏,4,6,1.0,0.0
01023009,双锁山,江湖戏,3,3,1.0,0.0
01023010,延安关,历史戏,6,15,1.0,0.0
01023012,焰火棍,江湖戏,4,6,1.0,0.0
01024001,宏碧缘,江湖戏,0,0,0,0
01024002,宏碧缘,江湖戏,27,82,0.233618,0.578462
01024003,金马门,历史戏,5,10,1.0,0.0
01024004,游武庙,历史戏,2,1,1.0,0
01024005,思凡,家庭戏,1,0,0,0
01024006,雪杯圆,家庭戏,5,8,0.8,0.333333
01024007,挡幽王,历史戏,3,3,1.0,0.0
01024008,佛门点元,家庭戏,16,30,0.25,0.47619
01024009,木门道,历史戏,9,32,0.888889,0.142857
01025001,宏碧缘,江湖戏,16,38,0.316667,0.47619
01025002,宏碧缘,江湖戏,12,30,0.454545,0.118182
01025003,洗耳记,历史戏,3,2,0.666667,1.0
01025005,老西嫖院,家庭戏,3,3,1.0,0.0
01025006,合凤裙,家庭戏,2,1,1.0,0
01025008,刘秀走国,历史戏,4,6,1.0,0.0
01025009,取洛阳,历史戏,8,28,1.0,0.0
01025010,东宫扫雪,家庭戏,4,4,0.666667,0.666667
01026002,受禅台,历史戏,9,36,1.0,0.0
01026003,兴赵灭屠,历史戏,8,28,1.0,0.0
01026004,黑驴告状,公案戏,12,34,0.515152,0.581818
01026005,胭脂判,公案戏,9,28,0.777778,0.285714
01026007,滚鼓山,历史戏,3,3,1.0,0.0
01026008,三结义,历史戏,17,49,0.360294,0.654167
01027002,三门街,江湖戏,15,33,0.314286,0.461538
01027003,三门街,江湖戏,20,66,0.347368,0.374269
01027004,三门街,江湖戏,17,22,0.161765,0.3125
01027005,三门街,江湖戏,22,72,0.311688,0.233333
01027006,怒斩于神仙,神怪戏,14,38,0.417582,0.410256
01027007,戏牡丹,神怪戏,2,1,1.0,0
01027008,打沙锅,公案戏,4,6,1.0,0.0
01027009,山海关,历史戏,15,38,0.361905,0.489011
01027010,晋阳宫,历史戏,4,6,1.0,0.0
01027011,战潼台,历史戏,5,8,0.8,0.333333
01027012,看香头,家庭戏,3,3,1.0,0.0
01027013,长生乐,家庭戏,16,66,0.55,0.438095
01028001,童女斩蛇,公案戏,7,16,0.761905,0.333333
01028002,九阳钟,江湖戏,32,141,0.284274,0.354839
01028003,行路哭灵,家庭戏,3,2,0.666667,1.0
01028005,磨房产子,家庭戏,0,0,0,0
01028006,蜈蚣岭,江湖戏,0,0,0,0
01028007,困曹府,历史戏,0,0,0,0
01028009,沙桥饯别,历史戏,6,15,1.0,0.0
01028010,背凳,家庭戏,3,3,1.0,0.0
01029001,花田错,家庭戏,8,28,1.0,0.0
01029002,关王庙,家庭戏,5,9,0.9,0.166667
01029004,九阳钟,江湖戏,35,153,0.257143,0.319964
01029005,普球山,江湖戏,13,60,0.769231,0.272727
01029006,山海关,历史戏,19,56,0.327485,0.316993
01029007,吴汉杀妻,家庭戏,4,5,0.833333,0.333333
01030001,黛玉焚稿,家庭戏,2,1,1.0,0
01030004,三雅园,公案戏,9,20,0.555556,0.571429
01030006,山海关,历史戏,10,21,0.466667,0.527778
01030008,串珠记,公案戏,8,15,0.535714,0.238095
01030009,贾政训子,家庭戏,9,25,0.694444,0.392857
01030010,十二红,家庭戏,2,1,1.0,0
01031002,牢狱鸳鸯,公案戏,15,52,0.495238,0.417582
01031003,博浪锥,历史戏,3,3,1.0,0.0
01031004,闺房戏,家庭戏,3,2,0.666667,1.0
01031005,晴雯撕扇,家庭戏,2,1,1.0,0
01031006,莲花塘,神怪戏,9,10,0.277778,0.446429
01031008,桂阳城,历史戏,5,10,1.0,0.0
01031009,雍凉关,历史戏,7,11,0.52381,0.666667
01031010,选元戎,历史戏,9,26,0.722222,0.357143
01031011,借茶活捉,神怪戏,2,1,1.0,0
01031012,瑶池会,神怪戏,3,2,0.666667,1.0
01032002,连环套,江湖戏,12,22,0.333333,0.363636
01032003,连环套,江湖戏,0,0,0,0
01032005,新四十八扯,家庭戏,0,0,0,0
01032006,芙蓉诔,家庭戏,7,15,0.714286,0.4
01032007,党人碑,公案戏,6,11,0.733333,0.4
01032008,白傅遣姬,家庭戏,0,0,0,0
01032009,安五路,历史戏,7,13,0.619048,0.3
01032012,浣纱溪,历史戏,3,3,1.0,0.0
01033001,狸猫换太子,公案戏,23,85,0.335968,0.179654
01033002,水漫金山寺,神怪戏,5,7,0.7,0.5
01033004,贺后骂殿,历史戏,6,15,1.0,0.0
01034003,汴梁图,历史戏,4,6,1.0,0.0
01034004,池水驿,家庭戏,0,0,0,0
01034006,镔铁剑,江湖戏,4,6,1.0,0.0
01034007,艾孝子,家庭戏,8,18,0.642857,0.47619
01034008,醋中醋,家庭戏,6,8,0.533333,0.4
01035001,狸猫换太子,公案戏,11,27,0.490909,0.5
01035002,徐母骂曹,历史戏,3,3,1.0,0.0
01035003,宝玉出家,家庭戏,5,7,0.7,0.5
01035004,新三娘教子,家庭戏,0,0,0,0
01035005,慈孝图,家庭戏,6,15,1.0,0.0
01035006,道州城,历史戏,9,24,0.666667,0.267857
01035007,凤凰山,历史戏,4,5,0.833333,0.333333
01035008,麻姑献寿,神怪戏,8,28,1.0,0.0
01036002,双龙会,历史戏,12,40,0.606061,0.363636
01036003,大香山,神怪戏,22,90,0.38961,0.566667
01036004,翠花宫,家庭戏,0,0,0,0
01036005,天女散花,神怪戏,0,0,0,0
01036006,平贵别窑,家庭戏,2,1,1.0,0
01036007,刀劈三关,历史戏,3,2,0.666667,1.0
01037002,嫦娥奔月,神怪戏,1,0,0,0
01037003,三字经,家庭戏,3,3,1.0,0.0
01037004,葭萌关,历史戏,2,1,1.0,0
01037005,盘关,历史戏,5,10,1.0,0.0
01037006,碧游宫,神怪戏,1,0,0,0
01037007,界牌关,历史戏,3,3,1.0,0.0
01037008,打桃园,江湖戏,8,14,0.5,0.285714
01038001,珠帘寨,历史戏,8,21,0.75,0.333333
01038002,取南郡,历史戏,15,61,0.580952,0.401099
01038003,芭蕉扇,神怪戏,5,7,0.7,0.5
01038004,珍珠衫,家庭戏,3,3,1.0,0.0
01038005,三世修,家庭戏,4,6,1.0,0.0
01038007,五雷报,家庭戏,7,15,0.714286,0.4
01038009,湘江会,历史戏,5,8,0.8,0.333333
01038010,宁武关,历史戏,4,5,0.833333,0.333333
01039001,贩马记,公案戏,13,24,0.307692,0.424242
01039002,玉门关,历史戏,9,11,0.305556,0.410714
01039003,取南郡,历史戏,13,54,0.692308,0.363636
01039004,太君辞朝,历史戏,7,21,1.0,0.0
01039005,戏姻缘,家庭戏,0,0,0,0
01039006,失金钗,家庭戏,6,8,0.533333,0.4
01039007,斩妲己,神怪戏,6,15,1.0,0.0
01040001,阎瑞生,公案戏,18,71,0.464052,0.536765
01040003,馒头庵,家庭戏,5,9,0.9,0.166667
01040004,倒厅门,公案戏,2,1,1.0,0
01040005,万花船,家庭戏,7,18,0.857143,0.2
01040006,金光阵,神怪戏,5,10,1.0,0.0
01040007,郑恩做亲,历史戏,13,49,0.628205,0.340909
02001001,天官赐福,神怪戏,6,15,1.0,0.0
02001002,三多九如,神怪戏,3,3,1.0,0.0
02001003,福禄寿荣,神怪戏,3,3,1.0,0.0
02001004,遐龄永祝,神怪戏,1,0,0,0
02001005,风调雨顺,神怪戏,4,6,1.0,0.0
02001008,财源辐辏,神怪戏,1,0,0,0
02001009,八仙庆寿,神怪戏,2,1,1.0,0
02001013,文王卜卦,神怪戏,2,1,1.0,0
02001016,太师回朝,历史戏,2,1,1.0,0
02001017,太师托梦,神怪戏,3,3,1.0,0.0
02001019,攻潼关,神怪戏,2,0,0.0,0
02001021,孝感天,家庭戏,4,4,0.666667,0.666667
02001022,孝感天,家庭戏,5,6,0.6,0.666667
02001023,孝感天,家庭戏,3,3,1.0,0.0
02001026,米注山,历史戏,4,5,0.833333,0.333333
02001027,米注山,历史戏,7,19,0.904762,0.133333
02001028,米注山,历史戏,4,5,0.833333,0.333333
02001030,连环阵,历史戏,2,1,1.0,0
02001032,龙门山,历史戏,4,5,0.833333,0.333333
02001033,搜孤救孤,历史戏,8,16,0.571429,0.380952
02001034,搜孤救孤,历史戏,7,11,0.52381,0.433333
02001044,西施,历史戏,8,21,0.75,0.333333
02001046,装疯,历史戏,3,3,1.0,0.0
02001047,五雷阵,神怪戏,5,7,0.7,0.5
02001048,五雷阵,神怪戏,3,3,1.0,0.0
02001049,五雷阵,神怪戏,4,4,0.666667,0.666667
02001050,五雷阵,神怪戏,5,9,0.9,0.166667
02001056,幻化,神怪戏,2,1,1.0,0
02002005,大十面,历史戏,3,3,1.0,0.0
02002007,韩信,历史戏,5,10,1.0,0.0
02002016,卓文君,家庭戏,5,7,0.7,0.5
02002017,昭君出塞,历史戏,3,3,1.0,0.0
02002030,太行山,江湖戏,2,1,1.0,0
02002032,汉忠烈,公案戏,3,1,0.333333,0.5
02002033,汉忠烈,公案戏,1,0,0,0
02002034,汉忠烈,公案戏,1,0,0,0
02002035,汉忠烈,公案戏,4,6,1.0,0.0
02003001,斩熊虎,江湖戏,3,3,1.0,0.0
02003003,捉放曹,历史戏,4,5,0.833333,0.333333
02003004,捉放曹,历史戏,3,3,1.0,0.0
02003005,斩华雄,历史戏,2,1,1.0,0
02003006,虎牢关,历史戏,4,6,1.0,0.0
02003013,凤凰台,历史戏,2,1,1.0,0
02003021,骂曹饯行,历史戏,4,4,0.666667,0.666667
02003022,打吉平,历史戏,2,1,1.0,0
02003030,徐母骂曹,历史戏,4,6,1.0,0.0
02003033,汉阳院,历史戏,18,83,0.542484,0.382353
02004001,龙凤呈祥,历史戏,9,25,0.694444,0.392857
02004002,龙凤呈祥,历史戏,6,12,0.8,0.3
02004004,取西川,历史戏,3,3,1.0,0.0
02004008,反西凉,历史戏,5,6,0.6,0.25
02004018,战合肥,历史戏,4,6,1.0,0.0
02004020,瓦口关,历史戏,6,10,0.666667,0.5
02004028,造白袍,历史戏,5,5,0.5,0.416667
02004029,造白袍,历史戏,7,10,0.47619,0.5
02004047,撤兵增灶,历史戏,3,3,1.0,0.0
02004052,定中原,历史戏,6,13,0.866667,0.2
02004053,探营,历史戏,2,1,1.0,0
02005002,观容,家庭戏,3,3,1.0,0.0
02005006,九莲灯,公案戏,0,0,0,0
02005007,九莲灯,公案戏,0,0,0,0
02005008,九莲灯,家庭戏,0,0,0,0
02005009,九莲灯,家庭戏,0,0,0,0
02005010,九莲灯,神怪戏,0,0,0,0
02005011,九莲灯,神怪戏,0,0,0,0
02005012,九莲灯,历史戏,0,0,0,0
02005013,九莲灯,家庭戏,0,0,0,0
02005014,九莲灯,家庭戏,0,0,0,0
02005015,九莲灯,家庭戏,0,0,0,0
02005025,三家店,历史戏,3,3,1.0,0.0
02005026,观阵,历史戏,5,8,0.8,0.333333
02005028,报信,公案戏,5,8,0.8,0.333333
02005029,倒铜旗,历史戏,2,1,1.0,0
02005031,四平山,神怪戏,9,10,0.277778,0.285714
02005032,晋阳宫,历史戏,8,26,0.928571,0.095238
02005033,晋阳宫,历史戏,4,6,1.0,0.0
02005034,千金闸,神怪戏,5,8,0.8,0.333333
02006002,千秋岭,历史戏,4,6,1.0,0.0
02006004,锁五龙,历史戏,14,37,0.406593,0.692308
02006008,秦王吊孝,神怪戏,8,23,0.821429,0.238095
02006009,御果园,历史戏,8,26,0.928571,0.095238
02006021,药王卷,神怪戏,5,6,0.6,0.25
02006025,安天会,神怪戏,4,4,0.666667,0.666667
02006026,观音院,神怪戏,2,1,1.0,0
02006027,黑风山,神怪戏,2,0,0.0,0
02006031,五庄观,神怪戏,1,0,0,0
02006032,五庄观,神怪戏,1,0,0,0
02006033,闻仁驱邪,神怪戏,3,2,0.666667,1.0
02006034,邪魔侵正,神怪戏,5,8,0.8,0.333333
02006035,花魔寨,神怪戏,2,1,1.0,0
02006036,救儒逃洞,神怪戏,2,1,1.0,0
02006037,法场明冤,神怪戏,1,0,0,0
02006038,莲花洞,神怪戏,1,0,0,0
02006043,九节山,神怪戏,2,1,1.0,0
02006044,五凤楼,家庭戏,2,1,1.0,0
02006045,五凤楼,家庭戏,3,2,0.666667,1.0
02006046,五凤楼,家庭戏,3,3,1.0,0.0
02006047,五凤楼,历史戏,2,1,1.0,0
02006048,五凤楼,历史戏,2,1,1.0,0
02006049,五凤楼,神怪戏,3,3,1.0,0.0
02006052,黄草山,江湖戏,1,0,0,0
02006056,醉写,历史戏,6,15,1.0,0.0
02006059,骂门,历史戏,5,10,1.0,0.0
02006060,战国进表,历史戏,5,6,0.6,0.666667
02006062,渡银河,神怪戏,2,1,1.0,0
02006064,贵寿图,神怪戏,6,8,0.533333,0.7
02006069,祥梅寺,神怪戏,2,1,1.0,0
02006073,太平桥,历史戏,6,7,0.466667,0.5
02006074,太平桥,历史戏,8,18,0.642857,0.47619
02007023,翠凤楼,江湖戏,4,6,1.0,0.0
02007027,廉锦枫,家庭戏,4,6,1.0,0.0
02007028,目莲记,家庭戏,4,6,1.0,0.0
02007029,目莲记,家庭戏,5,10,1.0,0.0
02007030,目莲记,神怪戏,1,0,0,0
02007031,目莲记,神怪戏,3,3,1.0,0.0
02007032,目莲记,神怪戏,3,3,1.0,0.0
02007033,目莲记,神怪戏,2,1,1.0,0
02008004,战潼台,历史戏,0,0,0,0
02008006,北汉王,历史戏,4,6,1.0,0.0
02008007,双尽忠,历史戏,0,0,0,0
02008008,双尽忠,公案戏,0,0,0,0
02008009,双尽忠,历史戏,0,0,0,0
02008010,双尽忠,神怪戏,0,0,0,0
02008011,双尽忠,家庭戏,0,0,0,0
02008012,双尽忠,神怪戏,0,0,0,0
02008013,破华州,历史戏,2,1,1.0,0
02008016,因果报,神怪戏,4,4,0.666667,0.666667
02008017,梅花妆,历史戏,3,3,1.0,0.0
02008018,鹞子观星,神怪戏,1,0,0,0
02008019,挂印,历史戏,7,21,1.0,0.0
02008021,打龙篷,历史戏,4,6,1.0,0.0
02008022,四红图,历史戏,2,1,1.0,0
02008023,泗水关,历史戏,4,5,0.833333,0.333333
02008026,洒金桥,神怪戏,2,1,1.0,0
02008027,输华山,神怪戏,2,1,1.0,0
02008036,下南唐,历史戏,6,5,0.333333,1.0
02008040,五台山,家庭戏,4,6,1.0,0.0
02008043,瓦桥关,历史戏,6,9,0.6,0.3
02008044,百箭会,公案戏,4,6,1.0,0.0
02008048,三岔口,江湖戏,5,9,0.9,0.166667
02008052,九龙峪,历史戏,5,8,0.8,0.333333
02008054,双挂印,历史戏,7,16,0.761905,0.333333
02008056,八盘山,历史戏,6,10,0.666667,0.5
02008060,双沙河,家庭戏,5,9,0.9,0.166667
02008061,双沙河,家庭戏,6,9,0.6,0.6
02009020,路遥知马力,家庭戏,3,3,1.0,0.0
02009026,林冲夜奔,江湖戏,1,0,0,0
02009029,灵官殿,江湖戏,4,4,0.666667,0.666667
02009035,快活林,江湖戏,2,1,1.0,0
02009040,红桃山,江湖戏,3,2,0.666667,1.0
02009041,百花庄,江湖戏,6,9,0.6,0.6
02010002,夺锦标,历史戏,4,6,1.0,0.166667
02010003,扈家庄,历史戏,4,3,0.5,0.333333
02010009,龙虎玉,历史戏,2,1,1.0,0
02010010,擒方腊,历史戏,3,3,1.0,0.0
02010016,娘子军,历史戏,4,6,1.0,0.0
02010018,雄州关,历史戏,4,6,1.0,0.0
02010024,洞庭湖,历史戏,7,16,0.761905,0.333333
02010032,狮吼记,家庭戏,8,18,0.642857,0.47619
02010034,大悲楼,神怪戏,6,11,0.733333,0.4
02010037,鬼辩,神怪戏,2,1,1.0,0
02011012,采石矶,历史戏,7,17,0.809524,0.266667
02011021,飞坡岛,神怪戏,1,0,0,0
02011040,宁武关,历史戏,5,10,1.0,0.0
02011041,宁武关,家庭戏,7,13,0.619048,0.533333
02011047,刺虎,历史戏,2,1,1.0,0
02011049,玉堂春,家庭戏,3,2,0.666667,1.0
02012001,忠义图,江湖戏,13,52,0.666667,0.295455
02012002,忠义图,江湖戏,21,86,0.409524,0.321053
02012003,常云观,江湖戏,13,45,0.576923,0.401515
02012004,贺兰山,江湖戏,27,153,0.435897,0.443077
02012005,武文华,江湖戏,4,6,1.0,0.0
02012007,九龙杯,江湖戏,1,0,0,0
02012008,九龙杯,江湖戏,1,0,0,0
02012009,九龙杯,江湖戏,1,0,0,0
02012010,九龙杯,公案戏,2,1,1.0,0
02012011,九龙杯,公案戏,2,0,0.0,0
02012012,九龙杯,江湖戏,4,6,1.0,0.0
02012013,丁彪投宿,江湖戏,1,0,0,0
02012020,莲花湖,江湖戏,14,63,0.692308,0.358974
02012024,霸王庄,公案戏,6,15,1.0,0.4
02012033,五里碑,公案戏,3,3,1.0,0.0
02012034,东昌府,公案戏,3,2,0.666667,1.0
02012035,东昌府,公案戏,7,20,0.952381,0.066667
02012036,东昌府,公案戏,5,8,0.8,0.333333
02012037,弓砚缘,家庭戏,3,2,0.666667,1.0
02012038,弓砚缘,家庭戏,3,3,1.0,0.0
02012039,弓砚缘,江湖戏,4,6,1.0,0.0
02012041,弓砚缘,江湖戏,2,0,0.0,0
02012042,弓砚缘,历史戏,2,1,1.0,0
02012043,弓砚缘,家庭戏,3,3,1.0,0.0
