剧本ID,剧本名称,剧目类别,角色总数,实际关系数,网络密度,度中心化
70003127,走麦城,历史戏,8,17,0.607143,0.52381
70004101,驱车战将,历史戏,1,0,0,0
70004102,好鹤失政,历史戏,1,0,0,0
70004103,陈十策,历史戏,1,0,0,0
70004104,绝龙岭,历史戏,1,0,0,0
70004105,闹朝击犬,历史戏,2,1,1.0,0
70004106,二子乘舟,家庭戏,0,0,0,0
70004107,未央宫斩韩信,历史戏,4,6,1.0,0.0
70004108,古城会,历史戏,5,10,1.0,0.0
70004109,走麦城,历史戏,17,58,0.426471,0.729167
70004111,刀劈三关,历史戏,5,8,0.8,0.333333
70005101,战蚩尤,历史戏,3,3,1.0,0.0
70005102,洗耳记,历史戏,3,2,0.666667,1.0
70005103,将相和,历史戏,2,1,1.0,0
70005104,博浪锥,历史戏,3,3,1.0,0.0
70005106,马前泼水,家庭戏,6,6,0.4,0.6
70005108,受禅台,历史戏,9,36,1.0,0.0
70005109,骂王朗,历史戏,2,1,1.0,0
70005110,哭祖庙,历史戏,5,5,0.5,0.833333
70005111,马嵬驿,历史戏,2,1,1.0,0
70005112,刀劈三关,历史戏,3,2,0.666667,1.0
70005114,骂阎罗,神怪戏,6,7,0.466667,0.8
70005115,排王赞,历史戏,6,9,0.6,0.6
70005116,煤山恨,历史戏,3,3,1.0,0.0
70005118,孝妇羹,家庭戏,7,21,1.0,0.0
70006101,搜孤救孤,历史戏,4,5,0.833333,0.333333
70006102,捉放曹,历史戏,4,6,1.0,0.0
70006103,击鼓骂曹,历史戏,2,1,1.0,0
70006104,定军山,历史戏,7,12,0.571429,0.6
70006105,失街亭·空城计·斩马谡,历史戏,4,4,0.666667,0.666667
70006106,武家坡,家庭戏,2,1,1.0,0
70006107,珠帘寨,历史戏,8,21,0.75,0.333333
70006108,洪羊洞,历史戏,7,10,0.47619,0.733333
70006109,乌盆记,公案戏,7,13,0.619048,0.533333
70006110,战太平,历史戏,6,13,0.866667,0.2
70006111,二进宫,历史戏,5,10,1.0,0.0
70006112,御碑亭,家庭戏,5,9,0.9,0.166667
70201101,宇宙锋,家庭戏,3,3,1.0,0.0
70201104,黛玉葬花,家庭戏,2,1,1.0,0
70201105,天女散花,神怪戏,0,0,0,0
70201106,霸王别姬,历史戏,4,6,1.0,0.0
70201107,洛神,神怪戏,4,6,1.0,0.0
70201109,抗金兵,历史戏,3,3,1.0,0.0
70201110,生死恨,家庭戏,12,31,0.469697,0.527273
